"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"CODWR","1004","CODWR.1004.LITH.1","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","188","feet","195","feet"
"CODWR","1004","CODWR.1004.LITH.2","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","195","feet","200","feet"
"CODWR","1004","CODWR.1004.LITH.3","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","200","feet","202","feet"
"CODWR","1004","CODWR.1004.LITH.4","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","202","feet","220","feet"
"CODWR","1004","CODWR.1004.LITH.5","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","220","feet","250","feet"
"CODWR","1004","CODWR.1004.LITH.6","CLAY","HIGH PLAINS AQUIFER","eng","ft","250","feet","252","feet"
"CODWR","1004","CODWR.1004.LITH.7","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","252","feet","295","feet"
"CODWR","1004","CODWR.1004.LITH.8","CLAY","HIGH PLAINS AQUIFER","eng","ft","295","feet","300","feet"
"CODWR","1004","CODWR.1004.LITH.9","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","300","feet","309","feet"
"CODWR","1004","CODWR.1004.LITH.10","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","309","feet","317","feet"
"CODWR","1004","CODWR.1004.LITH.11","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","317","feet","328","feet"
"CODWR","1004","CODWR.1004.LITH.12","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","328","feet","334","feet"
"CODWR","1004","CODWR.1004.LITH.13","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","334","feet","363","feet"
"CODWR","1004","CODWR.1004.LITH.14","CLAY","HIGH PLAINS AQUIFER","eng","ft","363","feet","368","feet"
"CODWR","1004","CODWR.1004.LITH.15","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","368","feet","372","feet"
"CODWR","1004","CODWR.1004.LITH.16","CLAY","HIGH PLAINS AQUIFER","eng","ft","372","feet","383","feet"
"CODWR","1004","CODWR.1004.LITH.17","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","383","feet","400","feet"
"CODWR","1004","CODWR.1004.LITH.18","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","400","feet","407","feet"
"CODWR","1004","CODWR.1004.LITH.19","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","407","feet","415","feet"
"CODWR","1004","CODWR.1004.LITH.20","CLAY","HIGH PLAINS AQUIFER","eng","ft","415","feet","420","feet"
"CODWR","149917","CODWR.149917.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","35","feet"
"CODWR","149917","CODWR.149917.LITH.2","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","35","feet","70","feet"
"CODWR","149917","CODWR.149917.LITH.3","CLAY","HIGH PLAINS AQUIFER","eng","ft","70","feet","100","feet"
"CODWR","149917","CODWR.149917.LITH.4","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","100","feet","230","feet"
"CODWR","149917","CODWR.149917.LITH.5","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","230","feet","255","feet"
"CODWR","149917","CODWR.149917.LITH.6","CLAY","HIGH PLAINS AQUIFER","eng","ft","255","feet","262","feet"
