SiteNo;DecLatVa;DecLongVa;AltVa
2752301;32.2288889;-102.5405556;3158
2750501;32.1813889;-102.7958333;3327
2736901;32.3791667;-102.5188889;3146
2736401;32.4227778;-102.6005556;3197
2738101;32.478055;-102.352223;3019
2743801;32.2836111;-102.6791667;3209
2745201;32.3608333;-102.4233333;3073
2746501;32.3008333;-102.3236111;3005
2751401;32.1872222;-102.7466667;3275
2751601;32.1986111;-102.6555556;3196
2735701;32.3975;-102.711945;3239
2738801;32.3838889;-102.3136111;3003
2738701;32.4075;-102.3641667;3020
2752702;32.1272222;-102.6038889;3134
2733201;32.471111;-102.945556;3428
2744201;32.3586111;-102.5583333;3168
2746601;32.321944;-102.268611;3172
2738401;32.42;-102.3566667;3010
2754902;32.1641667;-102.255;2923
2753402;32.1883333;-102.4861111;3120
2752402;32.1827778;-102.5863889;3163
2745901;32.281111;-102.381944;3037
2754101;32.24;-102.3608333;3001
2750802;32.155556;-102.811112;3362
2743701;32.272222;-102.733889;3245
2738802;32.416389;-102.318611;2998
2737801;32.402501;-102.433055;3076
2735201;32.4719444;-102.7036111;3267
2735302;32.4622222;-102.635;3205
1112803;34.791111;-101.571389;3422
1113702;34.763334;-101.4975;3354
660202;35.1;-101.559167;3494
663203;35.1;-101.183611;3152
664702;35.01;-101.1138889;2980
663204;35.093889;-101.183611;3145
662402;35.075;-101.3691667;3363
1107750;34.895834;-101.232222;3266
1112522;34.792778;-101.542778;3396
1112901;34.763056;-101.528611;3394
652501;35.176389;-101.559723;3524
655615;35.179722;-101.126111;3297
1112701;34.778333;-101.616667;3454
656404;35.18;-101.1044444;3281
661601;35.058056;-101.416112;3427
661802;35.03;-101.431389;3422
662101;35.0938889;-101.3633333;3387
662107;35.096667;-101.351945;3382
662201;35.09;-101.321389;3352
663601;35.052778;-101.140556;3030
664701;35.0336111;-101.1102778;2996
1112401;34.807501;-101.616389;3452
655511;35.1788889;-101.17;3324
660502;35.0733333;-101.5588889;3462
662901;35.036667;-101.265556;3309
654801;35.1338889;-101.3191667;3404
652906;35.138056;-101.529444;3440
654902;35.128333;-101.251667;3345
656702;35.158612;-101.098889;3281
660902;35.001112;-101.529167;3460
661608;35.044445;-101.383334;3406
662301;35.111667;-101.2775;3362
664404;35.056667;-101.090278;2968
1105104;34.9838889;-101.4619444;3396
1107401;34.916944;-101.229167;3275
1104101;34.989167;-101.593334;3468
655504;35.18111;-101.169166;3326
