AgencyCd,SiteNo,AgencyNm,SiteName,DecLatVa,DecLongVa,HorzDatum,HorzMethod,HorzAcy,AltVa,AltUnits,AltUnitsNm,AltDatumCd,AltMethod,AltAcy,WellDepthUnits,WellDepthUnitsNm,NatAquiferCd,NatAqfrDesc,CountryCd,CountryNm,StateCd,StateNm,CountyCd,CountyNm,LocalAquiferName,SiteType,AquiferType,QwSnFlag,QwSnDesc,QwBaselineFlag,QwBaselineDesc,WlSysName,WlSnFlag,WlSnDesc,WlBaselineFlag,WlBaselineDesc,WlWellChars,WlWellCharsDesc,WlWellType,WlWellTypeDesc,WlWellPurpose,WlWellPurposeDesc,Link,WellDepth,QwSysName,QwWellChars,QwWellCharsDesc,QwWellType,QwWellTypeDesc,QwWellPurpose,QwWellPurposeDesc,WlWellPurposeNotes,Column1
TWDB,2752301.0,Texas Water Development Board,2752301,32.2288889,-102.5405556,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3158.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2752301&Type=GWDB,,,,,,,,,,
TWDB,2750501.0,Texas Water Development Board,2750501,32.1813889,-102.7958333,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3327.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2750501&Type=GWDB,,,,,,,,,,
TWDB,2736901.0,Texas Water Development Board,2736901,32.3791667,-102.5188889,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3146.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2736901&Type=GWDB,,,,,,,,,,
TWDB,2736401.0,Texas Water Development Board,2736401,32.4227778,-102.6005556,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3197.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2736401&Type=GWDB,,,,,,,,,,
TWDB,2738101.0,Texas Water Development Board,Five Wells Ranch,32.478055,-102.352223,NAD83,GPS,+/- 0.5 Seconds,3019.0,1,Feet,NAVD88,Digital Elevation Model -DEM,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation,WELL,UNCONFINED,1,Yes,1,Yes,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2738101&Type=GWDB,,,,,,,,,,
TWDB,2743801.0,Texas Water Development Board,TWDB:2743801,32.2836111,-102.6791667,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3209.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3m,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2743801&Type=GWDB,,,,,,,,,,
TWDB,2745201.0,Texas Water Development Board,TWDB:2745201,32.3608333,-102.4233333,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3073.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3m,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2745201&Type=GWDB,,,,,,,,,,
TWDB,2746501.0,Texas Water Development Board,TWDB:2746501,32.3008333,-102.3236111,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3005.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3m,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2746501&Type=GWDB,,,,,,,,,,
TWDB,2751401.0,Texas Water Development Board,TWDB:2751401,32.1872222,-102.7466667,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3275.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3m,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2751401&Type=GWDB,,,,,,,,,,
TWDB,2751601.0,Texas Water Development Board,TWDB:2751601,32.1986111,-102.6555556,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3196.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3m,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,1,Yes,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2751601&Type=GWDB,,,,,,,,,,
TWDB,2735701.0,Texas Water Development Board,University of Texas Shafter Lake Quad,32.3975,-102.711945,NAD83,GPS,+/- 0.5 Seconds,3239.0,1,Feet,NAVD88,Digital Elevation Model -DEM,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2735701&Type=GWDB,,,,,,,,,,
TWDB,2738801.0,Texas Water Development Board,2738801,32.3838889,-102.3136111,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3003.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2738801&Type=GWDB,,,,,,,,,,
TWDB,2738701.0,Texas Water Development Board,2738701,32.4075,-102.3641667,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3020.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2738701&Type=GWDB,,,,,,,,,,
TWDB,2752702.0,Texas Water Development Board,2752702,32.1272222,-102.6038889,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3134.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2752702&Type=GWDB,,,,,,,,,,
TWDB,2733201.0,Texas Water Development Board,Barrow Cattle Co.,32.471111,-102.945556,NAD83,GPS,+/- 0.5 Seconds,3428.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2733201&Type=GWDB,,,,,,,,,,
TWDB,2744201.0,Texas Water Development Board,2744201,32.3586111,-102.5583333,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3168.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2744201&Type=GWDB,,,,,,,,,,
TWDB,2746601.0,Texas Water Development Board,7 Bird Ranch,32.321944,-102.268611,NAD83,GPS,+/- 0.5 Seconds,3172.0,1,Feet,NAVD88,Digital Elevation Model -DEM,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2746601&Type=GWDB,,,,,,,,,,
TWDB,2738401.0,Texas Water Development Board,2738401,32.42,-102.3566667,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3010.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2738401&Type=GWDB,,,,,,,,,,
TWDB,2754902.0,Texas Water Development Board,2754902,32.1641667,-102.255,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,2923.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2754902&Type=GWDB,,,,,,,,,,
TWDB,2753402.0,Texas Water Development Board,2753402,32.1883333,-102.4861111,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3120.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2753402&Type=GWDB,,,,,,,,,,
TWDB,2752402.0,Texas Water Development Board,2752402,32.1827778,-102.5863889,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3163.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2752402&Type=GWDB,,,,,,,,,,
TWDB,2745901.0,Texas Water Development Board,Five Wells Ranch SW Quad,32.281111,-102.381944,NAD83,GPS,+/- 0.5 Seconds,3037.0,1,Feet,NAVD88,Digital Elevation Model -DEM,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation,WELL,UNCONFINED,1,Yes,1,Yes,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2745901&Type=GWDB,,,,,,,,,,
TWDB,2754101.0,Texas Water Development Board,2754101,32.24,-102.3608333,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3001.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3m,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2754101&Type=GWDB,,,,,,,,,,
TWDB,2750802.0,Texas Water Development Board,University of Texas Sand Ranch Quad,32.155556,-102.811112,NAD83,GPS,+/- 0.5 Seconds,3362.0,1,Feet,NAVD88,Digital Elevation Model -DEM,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2750802&Type=GWDB,,,,,,,,,,
TWDB,2743701.0,Texas Water Development Board,Lazy X Ranch,32.272222,-102.733889,NAD83,GPS,+/- 0.5 Seconds,3245.0,1,Feet,NAVD88,Digital Elevation Model -DEM,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2743701&Type=GWDB,,,,,,,,,,
TWDB,2738802.0,Texas Water Development Board,Five Wells Ranch,32.416389,-102.318611,NAD83,GPS,+/- 0.5 Seconds,2998.0,1,Feet,NAVD88,Digital Elevation Model -DEM,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2738802&Type=GWDB,,,,,,,,,,
TWDB,2737801.0,Texas Water Development Board,Scharbauer Cattle Co.,32.402501,-102.433055,NAD83,GPS,+/- 0.5 Seconds,3076.0,1,Feet,NAVD88,Digital Elevation Model -DEM,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2737801&Type=GWDB,,,,,,,,,,
TWDB,2735201.0,Texas Water Development Board,TWDB:2735201,32.4719444,-102.7036111,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3267.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3m,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2735201&Type=GWDB,,,,,,,,,,
TWDB,2735302.0,Texas Water Development Board,TWDB:2735302,32.4622222,-102.635,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3205.0,1,Feet,NAVD88,Digital Elevation Model -DEM,3m,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2735302&Type=GWDB,,,,,,,,,,
TWDB,1112803.0,Texas Water Development Board,TWDB:1112803,34.791111,-101.571389,NAD83,Interpolated From Topo Map,+/- 1 Second,3422.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1112803&Type=GWDB,165.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
TWDB,1113702.0,Texas Water Development Board,TWDB:1113702,34.763334,-101.4975,NAD83,Interpolated From Topo Map,+/- 1 Second,3354.0,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,1.0,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1113702&Type=GWDB,160.0,TWDB GWB,1.0,Background,1.0,Surveillance,1.0,Dedicated Monitoring/Observation,,
