site,rising_percentage,stable_percentage,falling_percentage
#2752301,27.27272727272727,54.54545454545454,18.181818181818183
#2750501,50.0,18.75,31.25
#2736901,41.66666666666667,33.33333333333333,25.0
#2736401,31.25,43.75,25.0
#2738101,6.25,18.75,75.0
#2743801,20.689655172413794,68.96551724137932,10.344827586206897
#2751401,40.0,45.0,15.0
#2751601,40.0,50.0,10.0
#2735701,35.483870967741936,41.935483870967744,22.58064516129032
#2752702,21.428571428571427,42.857142857142854,35.714285714285715
#2733201,19.35483870967742,67.74193548387096,12.903225806451612
#2744201,36.666666666666664,46.666666666666664,16.666666666666664
#2750802,2.666666666666667,86.66666666666667,10.666666666666668
#2743701,40.74074074074074,48.148148148148145,11.11111111111111
#2737801,27.27272727272727,63.63636363636363,9.090909090909092
#2735201,0.0,20.689655172413794,79.3103448275862
#2735302,4.0,24.0,72.0
#1112803,66.66666666666666,26.666666666666668,6.666666666666667
#1113702,36.666666666666664,33.33333333333333,30.0
#660202,36.84210526315789,42.10526315789473,21.052631578947366
#664702,10.0,23.333333333333332,66.66666666666666
#1112522,32.25806451612903,58.06451612903226,9.67741935483871
#1112901,36.666666666666664,60.0,3.3333333333333335
#652501,45.16129032258064,48.38709677419355,6.451612903225806
#655615,8.333333333333332,36.11111111111111,55.55555555555556
#1112701,40.0,30.0,30.0
#656404,6.666666666666667,26.666666666666668,66.66666666666666
#661601,27.586206896551722,37.93103448275862,34.48275862068966
#661802,27.586206896551722,51.724137931034484,20.689655172413794
#662101,41.37931034482759,31.03448275862069,27.586206896551722
#662201,21.428571428571427,60.71428571428571,17.857142857142858
#663601,12.5,37.5,50.0
#664701,11.11111111111111,22.22222222222222,66.66666666666666
#1112401,17.24137931034483,82.75862068965517,0.0
#660502,22.727272727272727,63.63636363636363,13.636363636363635
#662901,34.78260869565217,43.47826086956522,21.73913043478261
#654801,27.586206896551722,62.06896551724138,10.344827586206897
#652906,8.333333333333332,33.33333333333333,58.333333333333336
#654902,30.434782608695656,21.73913043478261,47.82608695652174
#660902,38.46153846153847,34.61538461538461,26.923076923076923
#661608,36.0,32.0,32.0
#662301,21.73913043478261,60.86956521739131,17.391304347826086
#664404,25.0,21.875,53.125
#1107401,37.93103448275862,20.689655172413794,41.37931034482759
#1104101,26.666666666666668,43.333333333333336,30.0
#655504,1.1715481171548117,95.73221757322176,3.096234309623431
#663802,13.793103448275861,34.48275862068966,51.724137931034484
#652801,3.571428571428571,57.14285714285714,39.285714285714285
#653403,13.793103448275861,79.3103448275862,6.896551724137931
#653703,33.33333333333333,36.666666666666664,30.0
#654701,33.33333333333333,46.666666666666664,20.0
#661301,36.0,60.0,4.0
#661311,14.285714285714285,46.42857142857143,39.285714285714285
#662501,48.275862068965516,41.37931034482759,10.344827586206897
#1112702,40.0,33.33333333333333,26.666666666666668
#1112801,75.0,17.857142857142858,7.142857142857142
#1112802,70.0,26.666666666666668,3.3333333333333335
#1173,19.230769230769234,23.076923076923077,57.692307692307686
#1176,6.896551724137931,27.586206896551722,65.51724137931035
#1178,8.333333333333332,20.833333333333336,70.83333333333334
#1129,0.0,34.61538461538461,65.38461538461539
#1132,10.714285714285714,21.428571428571427,67.85714285714286
#1177,8.695652173913043,26.08695652173913,65.21739130434783
#1181,6.896551724137931,34.48275862068966,58.620689655172406
#1194,19.230769230769234,57.692307692307686,23.076923076923077
#1148,15.384615384615385,26.923076923076923,57.692307692307686
#1049104,0.0,16.666666666666664,83.33333333333334
#1042905,0.0,27.586206896551722,72.41379310344827
#1043905,0.0,20.833333333333336,79.16666666666666
#1050901,0.0,10.0,90.0
#1052410,4.0,44.0,52.0
#1051704,0.0,13.333333333333334,86.66666666666667
#2409302,13.333333333333334,86.66666666666667,0.0
#2411202,10.0,86.66666666666667,3.3333333333333335
#1043402,0.0,10.714285714285714,89.28571428571429
#1043807,3.7037037037037033,22.22222222222222,74.07407407407408
#1050703,23.076923076923077,19.230769230769234,57.692307692307686
#1057303,11.11111111111111,29.629629629629626,59.25925925925925
#1059106,0.0,26.666666666666668,73.33333333333333
#2409501,13.793103448275861,20.689655172413794,65.51724137931035
#2409103,26.666666666666668,36.666666666666664,36.666666666666664
#948902,0.0,10.344827586206897,89.65517241379311
#1050104,6.666666666666667,23.333333333333332,70.0
#1050602,0.0,23.333333333333332,76.66666666666667
#1057501,10.344827586206897,20.689655172413794,68.96551724137932
#1059401,16.666666666666664,43.333333333333336,40.0
#1059402,6.666666666666667,43.333333333333336,50.0
#1059601,17.24137931034483,31.03448275862069,51.724137931034484
#1058502,23.333333333333332,26.666666666666668,50.0
#1043501,0.0,14.285714285714285,85.71428571428571
#1042904,13.793103448275861,24.137931034482758,62.06896551724138
#964301,11.11111111111111,22.22222222222222,66.66666666666666
#1051909,0.41946308724832215,97.81879194630872,1.761744966442953
#1051105,18.51851851851852,14.814814814814813,66.66666666666666
#1049602,0.0,20.0,80.0
#1050801,23.333333333333332,20.0,56.666666666666664
#1049306,6.896551724137931,10.344827586206897,82.75862068965517
#1049801,0.0,10.0,90.0
#1059107,3.3333333333333335,26.666666666666668,70.0
#1059302,3.3333333333333335,56.666666666666664,40.0
#1051119,6.666666666666667,33.33333333333333,60.0
#1051311,0.0,16.666666666666664,83.33333333333334
#1051406,10.344827586206897,31.03448275862069,58.620689655172406
#1051703,7.142857142857142,25.0,67.85714285714286
#1051808,3.7037037037037033,22.22222222222222,74.07407407407408
#2410303,33.33333333333333,16.666666666666664,50.0
#2410201,40.0,13.333333333333334,46.666666666666664
#2410102,6.666666666666667,53.333333333333336,40.0
#1057103,6.666666666666667,20.0,73.33333333333333
#1058201,10.0,26.666666666666668,63.33333333333333
#1058601,24.137931034482758,31.03448275862069,44.827586206896555
#1058701,33.33333333333333,40.0,26.666666666666668
#1058801,31.03448275862069,10.344827586206897,58.620689655172406
#2402702,17.24137931034483,82.75862068965517,0.0
#2402701,20.0,50.0,30.0
#2410101,24.137931034482758,37.93103448275862,37.93103448275862
#2803601,2.4299065420560746,95.51401869158879,2.0560747663551404
#2812402,26.666666666666668,30.0,43.333333333333336
#2803901,30.0,30.0,40.0
#2804702,21.428571428571427,39.285714285714285,39.285714285714285
#628601,16.666666666666664,30.952380952380953,52.38095238095239
#638701,6.896551724137931,24.137931034482758,68.96551724137932
#638811,13.793103448275861,17.24137931034483,68.96551724137932
#646302,18.181818181818183,15.151515151515152,66.66666666666666
#636602,16.07547169811321,64.83018867924528,19.09433962264151
#636919,16.666666666666664,20.833333333333336,62.5
#631203,10.344827586206897,65.51724137931035,24.137931034482758
#644311,3.3333333333333335,16.666666666666664,80.0
#645201,7.4074074074074066,14.814814814814813,77.77777777777779
#646601,4.166666666666666,29.166666666666668,66.66666666666666
#646701,27.586206896551722,17.24137931034483,55.172413793103445
#652101,20.0,60.0,20.0
#652301,18.51851851851852,77.77777777777779,3.7037037037037033
#652508,26.923076923076923,53.84615384615385,19.230769230769234
#645701,15.625,59.375,25.0
#631701,20.833333333333336,54.166666666666664,25.0
#628102,10.714285714285714,39.285714285714285,50.0
#628701,18.421052631578945,44.73684210526316,36.84210526315789
#638601,3.7037037037037033,33.33333333333333,62.96296296296296
#647205,9.375,46.875,43.75
#647308,24.242424242424242,57.57575757575758,18.181818181818183
#1024401,3.3333333333333335,90.0,6.666666666666667
#1048302,0.0,10.0,90.0
#1038401,0.0,10.0,90.0
#1030505,0.0,10.0,90.0
#1030701,0.0,16.666666666666664,83.33333333333334
#1030802,0.0,11.11111111111111,88.88888888888889
#1040502,0.0,10.344827586206897,89.65517241379311
#1022404,13.333333333333334,33.33333333333333,53.333333333333336
#1022602,6.666666666666667,23.333333333333332,70.0
#1024901,46.666666666666664,43.333333333333336,10.0
#1029302,0.0,27.586206896551722,72.41379310344827
#1030301,33.33333333333333,53.333333333333336,13.333333333333334
#1031501,3.3333333333333335,80.0,16.666666666666664
#1031601,3.3333333333333335,36.666666666666664,60.0
#1031803,0.0,13.793103448275861,86.20689655172413
#1032201,3.3333333333333335,56.666666666666664,40.0
#1032301,10.0,40.0,50.0
#1032703,10.344827586206897,31.03448275862069,58.620689655172406
#1036301,0.0,10.344827586206897,89.65517241379311
#1037403,0.0,10.344827586206897,89.65517241379311
#1038101,0.0,10.344827586206897,89.65517241379311
#1038201,0.0,11.11111111111111,88.88888888888889
#1038603,0.0,11.538461538461538,88.46153846153845
#1038703,0.0,10.714285714285714,89.28571428571429
#1039702,0.0,10.0,90.0
#1039901,0.0,10.0,90.0
#1040301,0.0,10.0,90.0
#1048603,0.0,10.714285714285714,89.28571428571429
#1039801,0.0,23.076923076923077,76.92307692307693
#1037601,0.0,10.0,90.0
#1022203,16.666666666666664,23.333333333333332,60.0
#1022903,20.689655172413794,37.93103448275862,41.37931034482759
#1031701,3.571428571428571,17.857142857142858,78.57142857142857
#1028301,0.0,10.0,90.0
#1046302,0.0,10.344827586206897,89.65517241379311
#1032601,3.3333333333333335,40.0,56.666666666666664
#1031201,13.333333333333334,43.333333333333336,43.333333333333336
#1029201,0.0,20.0,80.0
#1037301,0.0,16.0,84.0
#1022302,17.24137931034483,65.51724137931035,17.24137931034483
#1022801,0.0,26.666666666666668,73.33333333333333
#1024802,36.666666666666664,46.666666666666664,16.666666666666664
#1040402,0.0,10.344827586206897,89.65517241379311
#1029603,0.0,16.666666666666664,83.33333333333334
#1031,17.24137931034483,58.620689655172406,24.137931034482758
#1027,20.0,36.0,44.0
#1004,3.7037037037037033,14.814814814814813,81.48148148148148
#990,13.793103448275861,24.137931034482758,62.06896551724138
#993,32.142857142857146,14.285714285714285,53.57142857142857
#996,17.857142857142858,14.285714285714285,67.85714285714286
#997,8.333333333333332,12.5,79.16666666666666
#994,24.137931034482758,13.793103448275861,62.06896551724138
#998,13.043478260869565,13.043478260869565,73.91304347826086
#1007,13.793103448275861,20.689655172413794,65.51724137931035
#1008,31.03448275862069,17.24137931034483,51.724137931034484
#1002,20.833333333333336,50.0,29.166666666666668
#987,10.344827586206897,17.24137931034483,72.41379310344827
#1006,28.57142857142857,50.0,21.428571428571427
#1028,18.75,81.25,0.0
#999,20.0,40.0,40.0
