site,slope_3_years,trend_3_years
Site_1,-0.4605617304496725,Falling
Site_2,-0.48319500147439814,Falling
Site_3,-0.40905786410986217,Falling
Site_4,-0.4283350787758828,Falling
Site_5,-0.43731369937214676,Falling
Site_6,-0.40438850766876794,Falling
Site_7,-0.3592892420834953,Falling
Site_8,-0.47407744259656065,Falling
Site_9,-0.39532711765949113,Falling
Site_10,-0.4631422813050128,Falling
Site_11,-0.4607100580520487,Falling
Site_12,-0.4148021718578559,Falling
Site_13,-0.47610302181982467,Falling
Site_14,-0.5099434843631547,Falling
Site_15,-0.4308610256494627,Falling
Site_16,-0.4222096543327685,Falling
Site_17,-0.41293087604552486,Falling
Site_18,-0.46385125665535654,Falling
Site_19,-0.3609849212747402,Falling
Site_20,-0.4828674775644724,Falling
Site_21,-0.4158489197661728,Falling
Site_22,-0.39797688359089933,Falling
Site_23,-0.5045930560283903,Falling
Site_24,-0.4258426095958624,Falling
Site_25,-0.44775727865362897,Falling
Site_26,-0.4900500352463384,Falling
Site_27,-0.3479249714928621,Falling
Site_28,-0.431603550831296,Falling
Site_29,-0.3654776815376264,Falling
Site_30,-0.3616936352832939,Falling
Site_31,-0.4407724371102807,Falling
Site_32,-0.45431052213938256,Falling
Site_33,-0.4396536474581495,Falling
Site_34,-0.37677236307398654,Falling
Site_35,-0.42111184479461455,Falling
Site_36,-0.443744053999668,Falling
Site_37,-0.435021511656604,Falling
Site_38,-0.3761969719788438,Falling
Site_39,-0.39205580817892216,Falling
Site_40,-0.45405238985361035,Falling
Site_41,-0.37363651090358446,Falling
Site_42,-0.42076929341532476,Falling
Site_43,-0.4407386714977984,Falling
Site_44,-0.39861864474348924,Falling
Site_45,-0.43795134106939043,Falling
Site_46,-0.36134588870762957,Falling
Site_47,-0.3731829582372021,Falling
Site_48,-0.372587442558594,Falling
Site_49,-0.47884201920387565,Falling
Site_50,-0.42535809014203557,Falling
Site_51,-0.5241312783726676,Falling
Site_52,-0.39802595952935504,Falling
Site_53,-0.5013434189327871,Falling
Site_54,-0.4076029547442061,Falling
Site_55,-0.4329379816314067,Falling
Site_56,-0.4354467166485472,Falling
Site_57,-0.3676192237452743,Falling
Site_58,-0.513800338035798,Falling
Site_59,-0.3610950303295674,Falling
Site_60,-0.4715621797297431,Falling
Site_61,-0.44612230605971515,Falling
Site_62,-0.432041087612145,Falling
Site_63,-0.43039145140245166,Falling
Site_64,-0.3947752055614537,Falling
Site_65,-0.4251157484689685,Falling
Site_66,-0.3889666532937274,Falling
Site_67,-0.3124962387031384,Falling
Site_68,-0.4281512985459791,Falling
Site_69,-0.3943259077672299,Falling
Site_70,-0.4137085950442523,Falling
Site_71,-0.3816941181011755,Falling
Site_72,-0.3571987906139702,Falling
Site_73,-0.3332330149983618,Falling
Site_74,-0.4770874026928912,Falling
Site_75,-0.34532041199616215,Falling
Site_76,-0.36568867232042396,Falling
Site_77,-0.37421071235571224,Falling
Site_78,-0.37920345933003025,Falling
Site_79,-0.41375373630170637,Falling
Site_80,-0.3716833486679162,Falling
Site_81,-0.39404535387450845,Falling
Site_82,-0.45909161326982856,Falling
Site_83,-0.5724199496806174,Falling
Site_84,-0.5472552024734513,Falling
Site_85,-0.45083632916662497,Falling
Site_86,-0.39396638119453004,Falling
Site_87,-0.45659784687269284,Falling
Site_88,-0.42375752797242816,Falling
Site_89,-0.40420561587439896,Falling
Site_90,-0.47416295198524816,Falling
Site_91,-0.3829163636662752,Falling
Site_92,-0.4044386859253847,Falling
Site_93,-0.3578955955365612,Falling
Site_94,-0.47597704431926247,Falling
Site_95,-0.4594735462625594,Falling
Site_96,-0.3856082720688229,Falling
Site_97,-0.4511255731484871,Falling
Site_98,-0.3041126731152088,Falling
Site_99,-0.43603541149625513,Falling
Site_100,-0.421635053590891,Falling
Site_101,-0.33743078745508776,Falling
Site_102,-0.34458526196824973,Falling
Site_103,-0.3624906385219092,Falling
Site_104,-0.4637146470367246,Falling
Site_105,-0.45943042549987095,Falling
Site_106,-0.3561761715768981,Falling
Site_107,-0.5066849306400157,Falling
Site_108,-0.4033808192843659,Falling
Site_109,-0.35100026893525094,Falling
Site_110,-0.4496299811555533,Falling
Site_111,-0.3545721967770793,Falling
Site_112,-0.4088663081706998,Falling
Site_113,-0.3508847697850881,Falling
Site_114,-0.3958158419951517,Falling
Site_115,-0.408564860856071,Falling
Site_116,-0.44848276346479155,Falling
Site_117,-0.3683149295136495,Falling
Site_118,-0.41196244904468177,Falling
Site_119,-0.3825966869707505,Falling
