site,slope_10_years,trend_10_years
#655504,-0.003144724836066361,Falling
#1051909,-0.0017136228453955317,Falling
#2803601,-0.002552824372085991,Falling
#2330103,0.0002998080286348641,Falling
#1004901,-0.0020508115157616877,Falling
#526501,0.0006227128762195596,Falling
#1151403,-0.0017131060254525826,Falling
#354301,-0.0033437069060236247,Falling
#712401,-0.004324470866050275,Falling
#954,0.0001603378573240167,Falling
#390740000000000,0.00017307425414023932,Falling
#1053602,-0.0032604788485315495,Falling
#341010000000000,-0.0010013083562587144,Falling
#2739903,-0.0011010531459361146,Falling
#405632000000000,0.0002535334380225696,Falling
#410943000000000,0.00016729657000075132,Falling
#422849000000000,0.00022982921099670397,Falling
#423148000000000,0.0008672776584363882,Falling
#423730000000000,0.0007505388970651346,Falling
#405129000000000,-4.757541967124961e-05,Falling
#404513000000000,-1.0337310718761123e-06,Falling
#404618000000000,0.00015086106062008268,Falling
#405445000000000,4.086412406555632e-05,Falling
#410102000000000,-0.0005774965455269555,Falling
#410154000000000,0.0002446401100236372,Falling
#421210000000000,9.038569897157213e-05,Falling
#422150000000000,0.0005319594948253997,Falling
#411738000000000,0.00047923478092578057,Falling
#404717000000000,5.818601300494141e-05,Falling
#405315000000000,0.0004891193053566754,Falling
#415559000000000,0.0005191844926583022,Falling
#400155000000000,0.00010873008682747166,Falling
#404949000000000,2.860217810538165e-06,Falling
#410618000000000,0.0005270319231023744,Falling
#413156000000000,0.0011075076385166588,Falling
#405137000000000,-4.163281941045625e-05,Falling
#3E+14,-0.0049264073827832,Falling
#4E+14,-0.00014468261881181695,Falling
#2462601,-0.0008843950990136968,Falling
