site,data_type,trend,h
Site_1,avg_level,decreasing,True
Site_1,min_level,decreasing,True
Site_2,avg_level,decreasing,True
Site_2,min_level,decreasing,True
Site_3,avg_level,decreasing,True
Site_3,min_level,decreasing,True
Site_4,avg_level,decreasing,True
Site_4,min_level,decreasing,True
Site_5,avg_level,decreasing,True
Site_5,min_level,decreasing,True
Site_6,avg_level,decreasing,True
Site_6,min_level,decreasing,True
Site_7,avg_level,decreasing,True
Site_7,min_level,decreasing,True
Site_8,avg_level,decreasing,True
Site_8,min_level,decreasing,True
Site_9,avg_level,decreasing,True
Site_9,min_level,decreasing,True
Site_10,avg_level,decreasing,True
Site_10,min_level,decreasing,True
Site_11,avg_level,decreasing,True
Site_11,min_level,decreasing,True
Site_12,avg_level,decreasing,True
Site_12,min_level,decreasing,True
Site_13,avg_level,decreasing,True
Site_13,min_level,decreasing,True
Site_14,avg_level,decreasing,True
Site_14,min_level,decreasing,True
Site_15,avg_level,decreasing,True
Site_15,min_level,decreasing,True
Site_16,avg_level,decreasing,True
Site_16,min_level,decreasing,True
Site_17,avg_level,decreasing,True
Site_17,min_level,decreasing,True
Site_18,avg_level,decreasing,True
Site_18,min_level,decreasing,True
Site_19,avg_level,decreasing,True
Site_19,min_level,decreasing,True
Site_20,avg_level,decreasing,True
Site_20,min_level,decreasing,True
Site_21,avg_level,decreasing,True
Site_21,min_level,decreasing,True
Site_22,avg_level,decreasing,True
Site_22,min_level,decreasing,True
Site_23,avg_level,decreasing,True
Site_23,min_level,decreasing,True
Site_24,avg_level,decreasing,True
Site_24,min_level,decreasing,True
Site_25,avg_level,decreasing,True
Site_25,min_level,decreasing,True
Site_26,avg_level,decreasing,True
Site_26,min_level,decreasing,True
Site_27,avg_level,decreasing,True
Site_27,min_level,decreasing,True
Site_28,avg_level,decreasing,True
Site_28,min_level,decreasing,True
Site_29,avg_level,decreasing,True
Site_29,min_level,decreasing,True
Site_30,avg_level,decreasing,True
Site_30,min_level,decreasing,True
Site_31,avg_level,decreasing,True
Site_31,min_level,decreasing,True
Site_32,avg_level,decreasing,True
Site_32,min_level,decreasing,True
Site_33,avg_level,decreasing,True
Site_33,min_level,decreasing,True
Site_34,avg_level,decreasing,True
Site_34,min_level,decreasing,True
Site_35,avg_level,decreasing,True
Site_35,min_level,decreasing,True
Site_36,avg_level,decreasing,True
Site_36,min_level,decreasing,True
Site_37,avg_level,decreasing,True
Site_37,min_level,decreasing,True
Site_38,avg_level,decreasing,True
Site_38,min_level,decreasing,True
Site_39,avg_level,decreasing,True
Site_39,min_level,decreasing,True
Site_40,avg_level,decreasing,True
Site_40,min_level,decreasing,True
Site_41,avg_level,decreasing,True
Site_41,min_level,decreasing,True
Site_42,avg_level,decreasing,True
Site_42,min_level,decreasing,True
Site_43,avg_level,decreasing,True
Site_43,min_level,decreasing,True
Site_44,avg_level,decreasing,True
Site_44,min_level,decreasing,True
Site_45,avg_level,decreasing,True
Site_45,min_level,decreasing,True
Site_46,avg_level,decreasing,True
Site_46,min_level,decreasing,True
Site_47,avg_level,decreasing,True
Site_47,min_level,decreasing,True
Site_48,avg_level,decreasing,True
Site_48,min_level,decreasing,True
Site_49,avg_level,decreasing,True
Site_49,min_level,decreasing,True
Site_50,avg_level,decreasing,True
Site_50,min_level,decreasing,True
Site_51,avg_level,decreasing,True
Site_51,min_level,decreasing,True
Site_52,avg_level,decreasing,True
Site_52,min_level,decreasing,True
Site_53,avg_level,decreasing,True
Site_53,min_level,decreasing,True
Site_54,avg_level,decreasing,True
Site_54,min_level,decreasing,True
Site_55,avg_level,decreasing,True
Site_55,min_level,decreasing,True
Site_56,avg_level,decreasing,True
Site_56,min_level,decreasing,True
Site_57,avg_level,decreasing,True
Site_57,min_level,decreasing,True
Site_58,avg_level,decreasing,True
Site_58,min_level,decreasing,True
Site_59,avg_level,decreasing,True
Site_59,min_level,decreasing,True
Site_60,avg_level,decreasing,True
Site_60,min_level,decreasing,True
Site_61,avg_level,decreasing,True
Site_61,min_level,decreasing,True
Site_62,avg_level,decreasing,True
Site_62,min_level,decreasing,True
Site_63,avg_level,decreasing,True
Site_63,min_level,decreasing,True
Site_64,avg_level,decreasing,True
Site_64,min_level,decreasing,True
Site_65,avg_level,decreasing,True
Site_65,min_level,decreasing,True
Site_66,avg_level,decreasing,True
Site_66,min_level,decreasing,True
Site_67,avg_level,decreasing,True
Site_67,min_level,decreasing,True
Site_68,avg_level,decreasing,True
Site_68,min_level,decreasing,True
Site_69,avg_level,decreasing,True
Site_69,min_level,decreasing,True
Site_70,avg_level,decreasing,True
Site_70,min_level,decreasing,True
Site_71,avg_level,decreasing,True
Site_71,min_level,decreasing,True
Site_72,avg_level,decreasing,True
Site_72,min_level,decreasing,True
Site_73,avg_level,decreasing,True
Site_73,min_level,decreasing,True
Site_74,avg_level,decreasing,True
Site_74,min_level,decreasing,True
Site_75,avg_level,decreasing,True
Site_75,min_level,decreasing,True
Site_76,avg_level,decreasing,True
Site_76,min_level,decreasing,True
Site_77,avg_level,decreasing,True
Site_77,min_level,decreasing,True
Site_78,avg_level,decreasing,True
Site_78,min_level,decreasing,True
Site_79,avg_level,decreasing,True
Site_79,min_level,decreasing,True
Site_80,avg_level,decreasing,True
Site_80,min_level,decreasing,True
Site_81,avg_level,decreasing,True
Site_81,min_level,decreasing,True
Site_82,avg_level,decreasing,True
Site_82,min_level,decreasing,True
Site_83,avg_level,decreasing,True
Site_83,min_level,decreasing,True
Site_84,avg_level,decreasing,True
Site_84,min_level,decreasing,True
