site,data_type,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1,avg_level,decreasing,True,0.0,-8.45857525602161,-0.9873015873015873,-622.0,5390.0,-5.643583333333332,0.5827083333333007
Site_1,min_level,decreasing,True,0.0,-8.404091679493291,-0.9809523809523809,-618.0,5390.0,-5.660228832951945,-4.490995423340962
Site_2,avg_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-5.738665501165501,-71.74210372960371
Site_2,min_level,decreasing,True,0.0,-8.48581704428577,-0.9904761904761905,-624.0,5390.0,-5.730684782608695,-75.43801630434783
Site_3,avg_level,decreasing,True,0.0,-8.48581704428577,-0.9904761904761905,-624.0,5390.0,-4.93013888888889,-53.651736111111106
Site_3,min_level,decreasing,True,0.0,-8.45857525602161,-0.9873015873015873,-622.0,5390.0,-4.922305194805195,-57.229659090909095
Site_4,avg_level,decreasing,True,0.0,-8.51305883254993,-0.9936507936507937,-626.0,5390.0,-5.173450774612694,-50.33752811094453
Site_4,min_level,decreasing,True,0.0,-8.45857525602161,-0.9873015873015873,-622.0,5390.0,-5.160000000000001,-54.815
Site_5,avg_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-5.260470430107524,-53.67260080645168
Site_5,min_level,decreasing,True,0.0,-8.48581704428577,-0.9904761904761905,-624.0,5390.0,-5.303166666666668,-56.974583333333314
Site_6,avg_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-4.911483333333334,-41.40070833333331
Site_6,min_level,decreasing,True,0.0,-8.51305883254993,-0.9936507936507937,-626.0,5390.0,-4.94891304347826,-43.54902173913045
Site_7,avg_level,decreasing,True,0.0,-8.48581704428577,-0.9904761904761905,-624.0,5390.0,-4.294625130616511,-21.731560214211044
Site_7,min_level,decreasing,True,0.0,-8.48581704428577,-0.9904761904761905,-624.0,5390.0,-4.286181818181818,-25.156818181818167
Site_8,avg_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-5.672250648869115,-23.976030311457166
Site_8,min_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-5.689523809523811,-27.718333333333305
Site_9,avg_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-4.772247474747475,-15.271919191919196
Site_9,min_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-4.766008695652173,-17.859847826086963
Site_10,avg_level,decreasing,True,0.0,-8.56754240907825,-1.0,-630.0,5390.0,-5.648747023809524,-33.47026041666665
Site_10,min_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-5.619071428571429,-40.18624999999997
Site_11,avg_level,decreasing,True,0.0,-8.56754240907825,-1.0,-630.0,5390.0,-5.529372106481482,-33.368904803240724
Site_11,min_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-5.557161290322581,-36.48467741935485
Site_12,avg_level,decreasing,True,0.0,-8.45857525602161,-0.9873015873015873,-622.0,5390.0,-4.966413082437276,-52.32402105734765
Site_12,min_level,decreasing,True,0.0,-8.45857525602161,-0.9873015873015873,-622.0,5390.0,-4.969077586206897,-55.47114224137931
Site_13,avg_level,decreasing,True,0.0,-8.48581704428577,-0.9904761904761905,-624.0,5390.0,-5.782280448717949,-44.642592147435906
Site_13,min_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-5.776933333333334,-49.39366666666666
Site_14,avg_level,decreasing,True,0.0,-8.56754240907825,-1.0,-630.0,5390.0,-6.330151041666666,-56.096940104166706
Site_14,min_level,decreasing,True,0.0,-8.54030062081409,-0.9968253968253968,-628.0,5390.0,-6.310659090909091,-61.193465909090904
Site_15,avg_level,decreasing,True,0.0,-8.56754240907825,-1.0,-630.0,5390.0,-5.112071314102563,-31.443335336538482
Site_15,min_level,decreasing,True,0.0,-8.51305883254993,-0.9936507936507937,-626.0,5390.0,-5.079000000000001,-36.4525
Site_16,avg_level,decreasing,True,0.0,-8.376849891229131,-0.9777777777777777,-616.0,5390.0,-4.974824074074072,-72.56141203703707
Site_16,min_level,decreasing,True,0.0,-8.336760599121595,-0.973015873015873,-613.0,5389.0,-4.962254901960785,-79.08553921568628
Site_17,avg_level,decreasing,True,0.0,-8.51305883254993,-0.9936507936507937,-626.0,5390.0,-4.917853260869565,-73.23881793478259
Site_17,min_level,decreasing,True,0.0,-8.48581704428577,-0.9904761904761905,-624.0,5390.0,-4.923495370370372,-76.00383101851851
Site_18,avg_level,decreasing,True,0.0,-8.56754240907825,-1.0,-630.0,5390.0,-5.564597222222222,-38.96579861111111
Site_18,min_level,decreasing,True,0.0,-8.48581704428577,-0.9904761904761905,-624.0,5390.0,-5.554038461538461,-44.25432692307692
Site_19,avg_level,decreasing,True,0.0,-8.48581704428577,-0.9904761904761905,-624.0,5390.0,-4.420620888157895,-28.277467790570185
Site_19,min_level,decreasing,True,0.0,-8.45857525602161,-0.9873015873015873,-622.0,5390.0,-4.402379310344827,-31.728362068965538
Site_20,avg_level,decreasing,True,0.0,-8.56754240907825,-1.0,-630.0,5390.0,-5.776643518518519,-69.43207175925923
