site,slope,intercept,trend,h,p,z,Tau,s
Site_1,-0.4611520029491276,8.188832637011558,decreasing,True,0.0,-30.150650629355816,-0.9698806774441878,-90711.0
Site_2,-0.4806578947368421,-62.387894736842114,decreasing,True,0.0,-30.315513629159152,-0.9751839021469506,-91207.0
Site_3,-0.4123369565217391,-45.34521739130436,decreasing,True,0.0,-30.12738367373841,-0.9691322384740398,-90641.0
Site_4,-0.432328607978279,-40.087020676691736,decreasing,True,0.0,-29.943232414911577,-0.963208878624583,-90087.0
Site_5,-0.4353900165498442,-46.87575642523363,decreasing,True,0.0,-30.372677151825542,-0.9770229236164572,-91379.0
Site_6,-0.40657068235046445,-35.46073261229968,decreasing,True,0.0,-30.220448157457895,-0.9721259943546318,-90921.0
Site_7,-0.35961102004791323,-16.124019669650735,decreasing,True,0.0,-30.029328416247377,-0.9659781028141305,-90346.0
Site_8,-0.47271672034353196,-14.14318840579709,decreasing,True,0.0,-30.444809743607046,-0.9793430844239158,-91596.0
Site_9,-0.39575407081933317,-11.567120703024031,decreasing,True,0.0,-30.380991811724602,-0.9772902232486528,-91404.0
Site_10,-0.4669527896995709,-22.328197424892693,decreasing,True,0.0,-30.386306615641022,-0.9774612950132581,-91420.0
Site_11,-0.45845528455284557,-25.52365853658536,decreasing,True,0.0,-30.436498435750323,-0.9790757847917201,-91571.0
Site_12,-0.41676667666766676,-45.878397839783986,decreasing,True,0.0,-30.194518788178073,-0.9712920195021811,-90843.0
Site_13,-0.47706922596103757,-34.70304719241588,decreasing,True,0.0,-30.328471621262157,-0.9756008895731759,-91246.0
Site_14,-0.5322271825396827,-44.09892857142853,decreasing,True,0.0,-30.44081775976823,-0.9792147806004619,-91584.0
Site_15,-0.4291999999999999,-22.102800000000016,decreasing,True,0.0,-30.360049875739158,-0.9766166281755196,-91341.0
Site_16,-0.4190614513422819,-60.3027265100671,decreasing,True,0.0,-29.94191279895966,-0.9631661106834317,-90083.0
Site_17,-0.41183559591512264,-67.15351128233353,decreasing,True,0.0,-30.134031375343383,-0.9693460781797965,-90661.0
Site_18,-0.4663674828634019,-27.434623701505174,decreasing,True,0.0,-30.30321035934955,-0.974788298691301,-91170.0
Site_19,-0.36352530179246434,-23.368534812827704,decreasing,True,0.0,-29.984454776553857,-0.9645346848002737,-90211.0
Site_20,-0.4818686453733183,-60.28637259936325,decreasing,True,0.0,-30.42220755939868,-0.9786160294243436,-91528.0
Site_21,-0.4123709773446558,-30.317868893554348,decreasing,True,0.0,-30.230743744090777,-0.9724574458985544,-90952.0
Site_22,-0.3968982929494667,-1.3799687229151942,decreasing,True,0.0,-29.85714965557692,-0.9604396544350355,-89828.0
Site_23,-0.5041666666666665,-11.920000000000016,decreasing,True,0.0,-30.382648702029694,-0.9773436831750919,-91409.0
