site,slope,intercept
Site_1,-0.4611520029491276,8.188832637011558
Site_2,-0.4806578947368421,-62.387894736842114
Site_3,-0.4123369565217391,-45.34521739130436
Site_4,-0.432328607978279,-40.087020676691736
Site_5,-0.4353900165498442,-46.87575642523363
Site_6,-0.40657068235046445,-35.46073261229968
Site_7,-0.35961102004791323,-16.124019669650735
Site_8,-0.47271672034353196,-14.14318840579709
Site_9,-0.39575407081933317,-11.567120703024031
Site_10,-0.4669527896995709,-22.328197424892693
Site_11,-0.45845528455284557,-25.52365853658536
Site_12,-0.41676667666766676,-45.878397839783986
Site_13,-0.47706922596103757,-34.70304719241588
Site_14,-0.5322271825396827,-44.09892857142853
Site_15,-0.4291999999999999,-22.102800000000016
Site_16,-0.4190614513422819,-60.3027265100671
Site_17,-0.41183559591512264,-67.15351128233353
Site_18,-0.4663674828634019,-27.434623701505174
Site_19,-0.36352530179246434,-23.368534812827704
Site_20,-0.4818686453733183,-60.28637259936325
Site_21,-0.4123709773446558,-30.317868893554348
Site_22,-0.3968982929494667,-1.3799687229151942
Site_23,-0.5041666666666665,-11.920000000000016
Site_24,-0.4413007070685494,11.060952726806661
Site_25,-0.44975308491440275,-40.69333365848901
Site_26,-0.472395652173913,-10.412539130434794
Site_27,-0.34390197708795267,-51.42717294900221
Site_28,-0.42660714285714296,-11.692857142857122
Site_29,-0.36081577196095826,-31.01379325643302
Site_30,-0.36190794028999673,-53.69788489736071
Site_31,-0.4401044393542758,-46.587441099476436
Site_32,-0.46071428571428574,-49.14571428571428
Site_33,-0.44309074534694226,-24.652399005060474
Site_34,-0.3738888888888883,-20.090000000000117
Site_35,-0.4208333333333333,-2.910000000000011
Site_36,-0.4447155133857261,-30.101449108683155
Site_37,-0.4307467998087852,-67.24869124130238
Site_38,-0.3795744680851064,-10.18191489361702
Site_39,-0.3928455284552846,-28.565365853658534
Site_40,-0.44724945414847167,-46.62411790393011
Site_41,-0.37234907601937994,-15.882599579813927
Site_42,-0.42120508820998287,-16.819700946643692
Site_43,-0.43947816719793686,-10.702715885245638
Site_44,-0.396276759410802,-16.734219967266768
Site_45,-0.43952834640361327,-30.601877176819542
Site_46,-0.3640279123861213,-34.9099709245978
Site_47,-0.37306249999999996,-55.838499999999996
Site_48,-0.37274725274725273,-6.77659340659342
Site_49,-0.4897968031143093,-21.313890527309198
Site_50,-0.4188073826008429,-32.32760535821794
Site_51,-0.5250681522748375,-4.9252791086351095
Site_52,-0.3947864387319002,-45.40612923390955
Site_53,-0.5122493386243386,-40.33414285714285
Site_54,-0.3993960780598712,-29.76044713906782
Site_55,-0.4295190361445783,-30.31388819277109
Site_56,-0.43788087354146954,-44.80773131504256
Site_57,-0.3618547541278356,-41.42937310838752
Site_58,-0.5133988887169967,-60.355840037128715
Site_59,-0.35256250434057923,-23.80649906243488
Site_60,-0.4732183566260284,-31.04483496877785
Site_61,-0.4489310576599933,-7.4408915454414455
Site_62,-0.4334503858154438,-23.844716663864133
Site_63,-0.4332116513218113,-46.44628331448878
Site_64,-0.3961851282332912,-30.284012301609096
Site_65,-0.42384025879351195,-44.87050410060141
Site_66,-0.39107565372783204,-15.867658794788284
Site_67,-0.3122366319152514,-58.87688750630569
Site_68,-0.4278389929914078,-30.0467775138559
Site_69,-0.3867197883597883,-64.34852571428571
Site_70,-0.41610328410415853,-23.341690633501756
Site_71,-0.38166666666666654,-49.710000000000036
Site_72,-0.3601217283950616,-53.13370666666668
Site_73,-0.3333186868008519,-14.173163651015983
Site_74,-0.48071570859419466,-49.74540694365396
Site_75,-0.33873655292076343,-32.6929045691151
Site_76,-0.36593531593210665,-51.867971758664964
Site_77,-0.37403042924910335,-36.88942728219368
Site_78,-0.36955878577846235,-22.58530227185213
Site_79,-0.41505454833974686,-64.02821755861468
Site_80,-0.3702467131959098,-44.37670994968347
Site_81,-0.39866761095372993,-9.067796033994341
Site_82,-0.46474339608025406,-36.87542644666512
Site_83,-0.5786363636363636,-16.214545454545444
Site_84,-0.5618863014313278,8.4974411091668
Site_85,-0.45510246073738136,-19.927868480725635
Site_86,-0.3904217939214233,-2.408892512972571
Site_87,-0.4592182970228279,-24.028847843069173
Site_88,-0.4352794269045985,-7.849643788606727
Site_89,-0.40376345192023344,-46.677094385229566
Site_90,-0.4709472415914684,-3.2453958162428194
Site_91,-0.3860445768920345,-25.574371391320554
Site_92,-0.4012167956319297,-30.397172143503184
Site_93,-0.3493167541962723,-78.73758109360519
Site_94,-0.4796078431372549,-40.12470588235294
Site_95,-0.45720000000000016,-28.38479999999997
Site_96,-0.385,-43.05
Site_97,-0.45328519290928043,-26.980398331595424
Site_98,-0.30030189109136474,-23.77479152426521
Site_99,-0.43932088089473087,-37.97668972673813
Site_100,-0.41965919446777333,-37.71361399496098
Site_101,-0.33844039047541996,-20.85687565730929
Site_102,-0.3451128719934773,-49.6756196494089
Site_103,-0.3603172384488079,-61.96147649505748
Site_104,-0.4704771390627965,-10.806937962435967
Site_105,-0.4584681052019761,-48.53088927637316
Site_106,-0.3581180811808118,-47.316494464944654
Site_107,-0.5306015051195774,-36.27007489417129
Site_108,-0.412777777777778,-17.54999999999994
Site_109,-0.3663829787234043,2.9587234042553234
Site_110,-0.444438186248141,-34.38135177040154
Site_111,-0.35046783803501946,-29.928946984435797
Site_112,-0.4151746218897382,-4.95228167181655
Site_113,-0.3517113130829945,-9.610356374073177
Site_114,-0.38275862068965516,-25.074137931034485
Site_115,-0.40868325657597687,-15.58441657958899
Site_116,-0.4527861366868777,-43.1481944756344
Site_117,-0.36532316082617783,-48.24019726154559
Site_118,-0.40568893828451885,-19.261189330543928
Site_119,-0.3810751847023034,-47.69776010430246
Site_120,-0.44296627510420605,-33.239284577491475
Site_121,-0.5383755341880342,-40.52088461538462
Site_122,-0.36768999768999755,-46.83896049896053
Site_123,-0.4350000000000014,-6.529999999999703
Site_124,-0.41023589030206675,-47.70904769475358
Site_125,-0.4675626120071685,-20.4164758064516
Site_126,-0.42036215489540296,-40.83177454259295
Site_127,-0.4622727272727273,-29.729090909090914
Site_128,-0.3947334948214161,-59.61756511857412
Site_129,-0.3870256758918573,-49.452454007358824
Site_130,-0.40550341727443695,-53.641261868721614
Site_131,-0.3751571372142399,-26.046058361724178
Site_132,-0.4111615254068084,-44.9291105121294
Site_133,-0.37815233479755544,-50.69909568372802
Site_134,-0.4232731349368121,-36.00300285364858
Site_135,-0.4436450900050642,-37.45266055890613
Site_136,-0.4621984691088027,-66.74513067249863
Site_137,-0.40307995206300296,-34.32473035439136
Site_138,-0.43720930232558136,-23.442790697674425
Site_139,-0.5123584905660377,-10.470566037735864
Site_140,-0.45967391304347827,-37.66043478260869
Site_141,-0.4139489928525015,19.752982456140316
Site_142,-0.42016162209814867,-56.325089626799894
Site_143,-0.4084076143182288,-26.673955307262574
Site_144,-0.3611360488541929,-22.304613447494333
Site_145,-0.43414066296424847,-8.185616799722325
Site_146,-0.36925686397327484,-30.220517381772638
Site_147,-0.41327586206896555,-13.922413793103445
Site_148,-0.39149393220811823,-29.367310643046466
Site_149,-0.40968985324025725,-14.48699170010444
