site,slope,intercept,trend,h,p,z,Tau,s
Site_1,-0.483100316182811,-15.824739292900276,decreasing,True,0.0,-28.310000569368793,-0.9662608225108225,-71426.0
Site_2,-0.4778854166666666,-87.286,decreasing,True,0.0,-28.443576064976938,-0.9708198051948052,-71763.0
Site_3,-0.4122308103930079,-67.98168440454248,decreasing,True,0.0,-28.25887237156985,-0.9645156926406926,-71297.0
Site_4,-0.42839205833087,-61.33872480047296,decreasing,True,0.0,-28.068207846894843,-0.958008658008658,-70816.0
Site_5,-0.4513898592283629,-62.723147028154315,decreasing,True,0.0,-28.54265706108482,-0.9742018398268398,-72013.0
Site_6,-0.41646190130624094,-53.48931494920173,decreasing,True,0.0,-28.47171090542439,-0.971780303030303,-71834.0
Site_7,-0.35694797971772385,-31.54598789419701,decreasing,True,0.0,-28.11182065638756,-0.9594967532467532,-70926.0
Site_8,-0.47152723785829054,-38.7267703312082,decreasing,True,0.0,-28.573976213459794,-0.9752705627705628,-72092.0
Site_9,-0.3893827160493828,-27.7285185185185,decreasing,True,0.0,-28.523242155736597,-0.9735389610389611,-71964.0
Site_10,-0.47074468085106386,-50.42702127659574,decreasing,True,0.0,-28.691688320527245,-0.9792884199134199,-72389.0
Site_11,-0.4667586222641625,-44.80234452528079,decreasing,True,0.0,-28.583882963829044,-0.9756087662337662,-72117.0
Site_12,-0.41336430665746815,-65.38405312176612,decreasing,True,0.0,-28.285023234921056,-0.9654085497835497,-71363.0
Site_13,-0.48863636363636365,-61.7318181818182,decreasing,True,0.0,-28.48756529597215,-0.9723214285714286,-71874.0
Site_14,-0.5241984633172951,-72.77389504307932,decreasing,True,0.0,-28.612022261772037,-0.976569264069264,-72188.0
Site_15,-0.4178099618692611,-45.40048732110188,decreasing,True,0.0,-28.485585734711655,-0.9722537878787879,-71869.0
Site_16,-0.4053269500946796,-91.67722558182152,decreasing,True,0.0,-27.969923838693003,-0.9546536796536796,-70568.0
Site_17,-0.4085500588062335,-82.22838870920316,decreasing,True,0.0,-28.286617561566626,-0.9654626623376623,-71367.0
Site_18,-0.4662500000000003,-57.189999999999955,decreasing,True,0.0,-28.48360169833521,-0.9721861471861472,-71864.0
Site_19,-0.37254839515424,-37.27070813038593,decreasing,True,0.0,-28.06266762929228,-0.9578192640692641,-70802.0
Site_20,-0.48989247311827955,-79.22064516129032,decreasing,True,0.0,-28.553759619422102,-0.9745806277056277,-72041.0
Site_21,-0.4007780283915692,-52.190618548818705,decreasing,True,0.0,-28.40828441729145,-0.9696158008658009,-71674.0
Site_22,-0.4229208145438044,-18.349203607589544,decreasing,True,0.0,-27.901347013803324,-0.9523133116883117,-70395.0
Site_23,-0.5102358903020667,-37.244709062003196,decreasing,True,0.0,-28.555734689191603,-0.9746482683982683,-72046.0
Site_24,-0.4549565085848272,-9.038350351713177,decreasing,True,0.0,-28.60886037262861,-0.976461038961039,-72180.0
Site_25,-0.45769381009615373,-67.56278846153847,decreasing,True,0.0,-28.24499755791095,-0.9640422077922078,-71262.0
Site_26,-0.5118482827913773,-22.045129704055554,decreasing,True,0.0,-28.670679002604963,-0.9785714285714285,-72336.0
Site_27,-0.33276854395604394,-68.76843956043956,decreasing,True,0.0,-28.18832031700663,-0.962107683982684,-71119.0
Site_28,-0.42090531887646204,-41.296178775719284,decreasing,True,0.0,-28.26996156508379,-0.9648944805194806,-71325.0
Site_29,-0.35423076923076924,-43.147692307692296,decreasing,True,0.0,-27.627468949061434,-0.942965367965368,-69704.0
Site_30,-0.3427718986216096,-71.26779546465096,decreasing,True,0.0,-28.153440649582116,-0.9609172077922078,-71031.0
Site_31,-0.4308333333333333,-63.72,decreasing,True,0.0,-28.590623326150215,-0.9758387445887445,-72134.0
Site_32,-0.4697257732992429,-65.29265152654534,decreasing,True,0.0,-28.55970277296444,-0.9747835497835498,-72056.0
Site_33,-0.44270926147626244,-49.9198217965576,decreasing,True,0.0,-28.445551161020596,-0.9708874458874459,-71768.0
Site_34,-0.37081190947044596,-36.78411338167437,decreasing,True,0.0,-28.311581560892055,-0.966314935064935,-71430.0
Site_35,-0.433738074650526,-24.892289667099007,decreasing,True,0.0,-28.514119160340528,-0.9732278138528139,-71941.0
Site_36,-0.4397521929824562,-53.74757894736841,decreasing,True,0.0,-28.37063248009849,-0.9683306277056277,-71579.0
Site_37,-0.41485472069790347,-88.37789362600253,decreasing,True,0.0,-28.611628149467016,-0.976555735930736,-72187.0
Site_38,-0.4017550017550017,-17.54303966303968,decreasing,True,0.0,-27.857760572674128,-0.9508252164502164,-70285.0
Site_39,-0.38124173973135234,-51.63158597158035,decreasing,True,0.0,-28.380946748877015,-0.9686823593073594,-71605.0
Site_40,-0.4358478359564165,-72.95721549636801,decreasing,True,0.0,-28.60092868162524,-0.9761904761904762,-72160.0
Site_41,-0.3747214463066417,-27.173482309124793,decreasing,True,0.0,-28.174839655566362,-0.9616477272727273,-71085.0
Site_42,-0.41954776695554363,-39.63682874453562,decreasing,True,0.0,-28.39719080862145,-0.969237012987013,-71646.0
Site_43,-0.44166666666666665,-29.120000000000005,decreasing,True,0.0,-28.518082757666125,-0.9733630952380953,-71951.0
Site_44,-0.4041042621837324,-32.86198166072337,decreasing,True,0.0,-28.457840549073683,-0.9713068181818182,-71799.0
Site_45,-0.4567354024943311,-50.22680272108842,decreasing,True,0.0,-28.63064892171306,-0.9772050865800865,-72235.0
Site_46,-0.3767849276274386,-50.1072938955318,decreasing,True,0.0,-28.43881527892193,-0.9706574675324675,-71751.0
Site_47,-0.37174555444555446,-78.74485354645356,decreasing,True,0.0,-28.245781402676954,-0.9640692640692641,-71264.0
Site_48,-0.3877579868154159,-23.650466531440145,decreasing,True,0.0,-28.332205621666084,-0.9670183982683983,-71482.0
Site_49,-0.514963217396008,-40.08706225996647,decreasing,True,0.0,-28.53988926842702,-0.9741071428571428,-72006.0
Site_50,-0.4008774180813265,-56.4115357283853,decreasing,True,0.0,-28.552169694666254,-0.9745265151515151,-72037.0
Site_51,-0.5231149957348588,-32.151920818907115,decreasing,True,0.0,-28.470125466369616,-0.9717261904761905,-71830.0
Site_52,-0.384652592097445,-68.94670231729057,decreasing,True,0.0,-28.249350858990688,-0.9641910173160173,-71273.0
Site_53,-0.5158701059917803,-60.85293964957819,decreasing,True,0.0,-28.670679002604963,-0.9785714285714285,-72336.0
Site_54,-0.40374999999999994,-46.68000000000002,decreasing,True,0.0,-28.316732013525826,-0.9664908008658009,-71443.0
Site_55,-0.4287971216701547,-45.5409526393303,decreasing,True,0.0,-28.544238015686002,-0.9742559523809524,-72017.0
Site_56,-0.4278454907161804,-63.19366578249337,decreasing,True,0.0,-28.310788841364666,-0.9662878787878788,-71428.0
Site_57,-0.3720619658119658,-55.64410256410257,decreasing,True,0.0,-27.82565323348406,-0.9497294372294373,-70204.0
Site_58,-0.5006249999999999,-78.80000000000001,decreasing,True,0.0,-28.644922372232585,-0.9776920995670996,-72271.0
Site_59,-0.3464964508184847,-48.02268144285094,decreasing,True,0.0,-28.19306777696722,-0.9622700216450216,-71131.0
Site_60,-0.4642263124199744,-59.2185480153649,decreasing,True,0.0,-28.595769265247814,-0.9760146103896103,-72147.0
Site_61,-0.4527599606276077,-30.25008755949932,decreasing,True,0.0,-28.507383284156845,-0.9729978354978355,-71924.0
Site_62,-0.4344568322981367,-44.024288198757745,decreasing,True,0.0,-28.482813453488426,-0.9721590909090909,-71862.0
Site_63,-0.44294117647058817,-69.44529411764708,decreasing,True,0.0,-28.582700620005358,-0.9755681818181818,-72114.0
Site_64,-0.41202676269227345,-46.650861563083495,decreasing,True,0.0,-27.94811746224536,-0.9539096320346321,-70513.0
