site,slope,intercept
Site_1,-0.483100316182811,-15.824739292900276
Site_2,-0.4778854166666666,-87.286
Site_3,-0.4122308103930079,-67.98168440454248
Site_4,-0.42839205833087,-61.33872480047296
Site_5,-0.4513898592283629,-62.723147028154315
Site_6,-0.41646190130624094,-53.48931494920173
Site_7,-0.35694797971772385,-31.54598789419701
Site_8,-0.47152723785829054,-38.7267703312082
Site_9,-0.3893827160493828,-27.7285185185185
Site_10,-0.47074468085106386,-50.42702127659574
Site_11,-0.4667586222641625,-44.80234452528079
Site_12,-0.41336430665746815,-65.38405312176612
Site_13,-0.48863636363636365,-61.7318181818182
Site_14,-0.5241984633172951,-72.77389504307932
Site_15,-0.4178099618692611,-45.40048732110188
Site_16,-0.4053269500946796,-91.67722558182152
Site_17,-0.4085500588062335,-82.22838870920316
Site_18,-0.4662500000000003,-57.189999999999955
Site_19,-0.37254839515424,-37.27070813038593
Site_20,-0.48989247311827955,-79.22064516129032
Site_21,-0.4007780283915692,-52.190618548818705
Site_22,-0.4229208145438044,-18.349203607589544
Site_23,-0.5102358903020667,-37.244709062003196
Site_24,-0.4549565085848272,-9.038350351713177
Site_25,-0.45769381009615373,-67.56278846153847
Site_26,-0.5118482827913773,-22.045129704055554
Site_27,-0.33276854395604394,-68.76843956043956
Site_28,-0.42090531887646204,-41.296178775719284
Site_29,-0.35423076923076924,-43.147692307692296
Site_30,-0.3427718986216096,-71.26779546465096
Site_31,-0.4308333333333333,-63.72
Site_32,-0.4697257732992429,-65.29265152654534
Site_33,-0.44270926147626244,-49.9198217965576
Site_34,-0.37081190947044596,-36.78411338167437
Site_35,-0.433738074650526,-24.892289667099007
Site_36,-0.4397521929824562,-53.74757894736841
Site_37,-0.41485472069790347,-88.37789362600253
Site_38,-0.4017550017550017,-17.54303966303968
Site_39,-0.38124173973135234,-51.63158597158035
Site_40,-0.4358478359564165,-72.95721549636801
Site_41,-0.3747214463066417,-27.173482309124793
Site_42,-0.41954776695554363,-39.63682874453562
Site_43,-0.44166666666666665,-29.120000000000005
Site_44,-0.4041042621837324,-32.86198166072337
Site_45,-0.4567354024943311,-50.22680272108842
Site_46,-0.3767849276274386,-50.1072938955318
Site_47,-0.37174555444555446,-78.74485354645356
Site_48,-0.3877579868154159,-23.650466531440145
Site_49,-0.514963217396008,-40.08706225996647
Site_50,-0.4008774180813265,-56.4115357283853
Site_51,-0.5231149957348588,-32.151920818907115
Site_52,-0.384652592097445,-68.94670231729057
Site_53,-0.5158701059917803,-60.85293964957819
Site_54,-0.40374999999999994,-46.68000000000002
Site_55,-0.4287971216701547,-45.5409526393303
Site_56,-0.4278454907161804,-63.19366578249337
Site_57,-0.3720619658119658,-55.64410256410257
Site_58,-0.5006249999999999,-78.80000000000001
Site_59,-0.3464964508184847,-48.02268144285094
Site_60,-0.4642263124199744,-59.2185480153649
Site_61,-0.4527599606276077,-30.25008755949932
Site_62,-0.4344568322981367,-44.024288198757745
Site_63,-0.44294117647058817,-69.44529411764708
Site_64,-0.41202676269227345,-46.650861563083495
Site_65,-0.39726390658174104,-64.34532993630572
Site_66,-0.3891280560524747,-28.917413237924848
Site_67,-0.3057949235344095,-69.78737468139337
Site_68,-0.4276140077243018,-54.898110516934054
Site_69,-0.3808145854398382,-77.83359959555105
Site_70,-0.41224834597567706,-45.528317572670005
Site_71,-0.38121923965447974,-71.69590598633988
Site_72,-0.3722040772066797,-63.26681717631749
Site_73,-0.32655618253393587,-29.601212953484307
Site_74,-0.4716121388166945,-79.11046934719465
Site_75,-0.3387059124022744,-50.73846481876332
Site_76,-0.35622134084820656,-66.38550255714435
Site_77,-0.37892679171661614,-50.336055990409704
Site_78,-0.36456921019595,-41.2927116423776
Site_79,-0.3985416666666667,-82.91
Site_80,-0.373300641025641,-63.57627692307693
Site_81,-0.3948140464115567,-27.6557030889811
Site_82,-0.46934683622192597,-54.79540744539021
Site_83,-0.593023823028928,-37.43942597844584
Site_84,-0.5845289593057656,-11.40043981329299
Site_85,-0.457924849184957,-37.33842895648826
Site_86,-0.40319231424676205,-15.587075664621693
Site_87,-0.46269054418993216,-51.873415515533026
Site_88,-0.45359894179894156,-26.079003174603216
Site_89,-0.40867924528301885,-71.23358490566036
