site,slope,intercept,trend,h,p,z,Tau,s
Site_1,-0.3691319942611191,-18.372080344332858,decreasing,True,0.0,-15.014469120505197,-0.9232782369146005,-6703.0
Site_2,-0.5027317176870749,-43.48609693877551,decreasing,True,0.0,-15.348234827161717,-0.943801652892562,-6852.0
Site_3,-0.3964461454346638,-45.913231273920175,decreasing,True,0.0,-14.956296468622957,-0.9196969696969697,-6677.0
Site_4,-0.34737468671679206,-26.42751879699248,decreasing,True,0.0,-14.445433734559462,-0.8882920110192838,-6449.0
Site_5,-0.3798824333561176,-52.04705399863295,decreasing,True,0.0,-14.824006692647655,-0.9115702479338843,-6618.0
Site_6,-0.27830625895843286,-35.46162446249403,decreasing,True,0.0,-14.59557024694529,-0.8975206611570248,-6516.0
Site_7,-0.3743484848484848,-17.159090909090907,decreasing,True,0.0,-14.765759122146092,-0.9079889807162534,-6592.0
Site_8,-0.5852277432712215,-16.68633540372671,decreasing,True,0.0,-15.234018206421268,-0.9367768595041323,-6801.0
Site_9,-0.47559668071654376,-7.084199157007372,decreasing,True,0.0,-14.976421657840255,-0.9209366391184572,-6686.0
Site_10,-0.3681064425770309,-20.963613445378144,decreasing,True,0.0,-14.295369723063375,-0.8790633608815427,-6382.0
Site_11,-0.4599999999999999,-28.190000000000005,decreasing,True,0.0,-15.357195991854265,-0.9443526170798898,-6856.0
Site_12,-0.49755599800895955,-40.34664011946243,decreasing,True,0.0,-15.572263944475418,-0.9575757575757575,-6952.0
Site_13,-0.42100024975024974,-43.60998501498502,decreasing,True,0.0,-14.14523396402116,-0.8698347107438017,-6315.0
Site_14,-0.5183762406947892,-33.947425558312645,decreasing,True,0.0,-15.26986295514226,-0.9389807162534435,-6817.0
Site_15,-0.5196049896049897,-3.2537006237006167,decreasing,True,0.0,-15.12200336666817,-0.9298898071625344,-6751.0
Site_16,-0.6030277777777777,-46.33833333333333,decreasing,True,0.0,-15.632791035942295,-0.9612947658402203,-6979.0
Site_17,-0.4163265306122449,-52.20040816326531,decreasing,True,0.0,-15.03011348057626,-0.9242424242424242,-6710.0
Site_18,-0.399186507936508,-17.848809523809518,decreasing,True,0.0,-14.725433881029625,-0.9055096418732782,-6574.0
Site_19,-0.30677692728266814,-27.91338436303991,decreasing,True,0.0,-13.668085046295198,-0.8404958677685951,-6102.0
Site_20,-0.4369688269073013,-54.611870385561915,decreasing,True,0.0,-15.30570770386325,-0.9411845730027548,-6833.0
