site,sens_slope
Site_1,"Sens_Slope_Test(slope=-0.4611520029491276, intercept=8.188832637011558)"
Site_2,"Sens_Slope_Test(slope=-0.4806578947368421, intercept=-62.387894736842114)"
Site_3,"Sens_Slope_Test(slope=-0.4123369565217391, intercept=-45.34521739130436)"
Site_4,"Sens_Slope_Test(slope=-0.432328607978279, intercept=-40.087020676691736)"
Site_5,"Sens_Slope_Test(slope=-0.4353900165498442, intercept=-46.87575642523363)"
Site_6,"Sens_Slope_Test(slope=-0.40657068235046445, intercept=-35.46073261229968)"
Site_7,"Sens_Slope_Test(slope=-0.35961102004791323, intercept=-16.124019669650735)"
Site_8,"Sens_Slope_Test(slope=-0.47271672034353196, intercept=-14.14318840579709)"
Site_9,"Sens_Slope_Test(slope=-0.39575407081933317, intercept=-11.567120703024031)"
Site_10,"Sens_Slope_Test(slope=-0.4669527896995709, intercept=-22.328197424892693)"
Site_11,"Sens_Slope_Test(slope=-0.45845528455284557, intercept=-25.52365853658536)"
Site_12,"Sens_Slope_Test(slope=-0.41676667666766676, intercept=-45.878397839783986)"
Site_13,"Sens_Slope_Test(slope=-0.47706922596103757, intercept=-34.70304719241588)"
Site_14,"Sens_Slope_Test(slope=-0.5322271825396827, intercept=-44.09892857142853)"
Site_15,"Sens_Slope_Test(slope=-0.4291999999999999, intercept=-22.102800000000016)"
Site_16,"Sens_Slope_Test(slope=-0.4190614513422819, intercept=-60.3027265100671)"
Site_17,"Sens_Slope_Test(slope=-0.41183559591512264, intercept=-67.15351128233353)"
Site_18,"Sens_Slope_Test(slope=-0.4663674828634019, intercept=-27.434623701505174)"
Site_19,"Sens_Slope_Test(slope=-0.36352530179246434, intercept=-23.368534812827704)"
Site_20,"Sens_Slope_Test(slope=-0.4818686453733183, intercept=-60.28637259936325)"
Site_21,"Sens_Slope_Test(slope=-0.4123709773446558, intercept=-30.317868893554348)"
Site_22,"Sens_Slope_Test(slope=-0.3968982929494667, intercept=-1.3799687229151942)"
Site_23,"Sens_Slope_Test(slope=-0.5041666666666665, intercept=-11.920000000000016)"
Site_24,"Sens_Slope_Test(slope=-0.4413007070685494, intercept=11.060952726806661)"
Site_25,"Sens_Slope_Test(slope=-0.44975308491440275, intercept=-40.69333365848901)"
Site_26,"Sens_Slope_Test(slope=-0.472395652173913, intercept=-10.412539130434794)"
Site_27,"Sens_Slope_Test(slope=-0.34390197708795267, intercept=-51.42717294900221)"
Site_28,"Sens_Slope_Test(slope=-0.42660714285714296, intercept=-11.692857142857122)"
Site_29,"Sens_Slope_Test(slope=-0.36081577196095826, intercept=-31.01379325643302)"
Site_30,"Sens_Slope_Test(slope=-0.36190794028999673, intercept=-53.69788489736071)"
Site_31,"Sens_Slope_Test(slope=-0.4401044393542758, intercept=-46.587441099476436)"
Site_32,"Sens_Slope_Test(slope=-0.46071428571428574, intercept=-49.14571428571428)"
Site_33,"Sens_Slope_Test(slope=-0.44309074534694226, intercept=-24.652399005060474)"
Site_34,"Sens_Slope_Test(slope=-0.3738888888888883, intercept=-20.090000000000117)"
Site_35,"Sens_Slope_Test(slope=-0.4208333333333333, intercept=-2.910000000000011)"
Site_36,"Sens_Slope_Test(slope=-0.4447155133857261, intercept=-30.101449108683155)"
Site_37,"Sens_Slope_Test(slope=-0.4307467998087852, intercept=-67.24869124130238)"
Site_38,"Sens_Slope_Test(slope=-0.3795744680851064, intercept=-10.18191489361702)"
Site_39,"Sens_Slope_Test(slope=-0.3928455284552846, intercept=-28.565365853658534)"
Site_40,"Sens_Slope_Test(slope=-0.44724945414847167, intercept=-46.62411790393011)"
