date;level;site
01/01/1985;-30.74533688;Site_1
31/01/1985;-28.17345453;Site_1
02/03/1985;-25.60157218;Site_1
01/04/1985;-31.69165538;Site_1
01/05/1985;-29.11977303;Site_1
31/05/1985;-26.54789068;Site_1
30/06/1985;-31.73736267;Site_1
30/07/1985;-29.16548032;Site_1
29/08/1985;-26.59359797;Site_1
28/09/1985;-29.71147304;Site_1
28/10/1985;-27.13959069;Site_1
27/11/1985;-28.38320636;Site_1
27/12/1985;-25.81132401;Site_1
26/01/1986;-31.73828265;Site_1
25/02/1986;-29.1664003;Site_1
27/03/1986;-26.59451795;Site_1
26/04/1986;-27.92668019;Site_1
26/05/1986;-25.35479784;Site_1
25/06/1986;-30.11301105;Site_1
25/07/1986;-27.5411287;Site_1
24/08/1986;-29.84813347;Site_1
23/09/1986;-27.27625112;Site_1
23/10/1986;-31.99222991;Site_1
22/11/1986;-29.42034756;Site_1
22/12/1986;-26.84846521;Site_1
21/01/1987;-30.11005934;Site_1
20/02/1987;-27.53817698;Site_1
22/03/1987;-28.18816825;Site_1
21/04/1987;-25.6162859;Site_1
21/05/1987;-30.78787548;Site_1
20/06/1987;-28.21599313;Site_1
20/07/1987;-25.64411078;Site_1
19/08/1987;-28.54868957;Site_1
18/09/1987;-25.97680722;Site_1
18/10/1987;-27.99097579;Site_1
17/11/1987;-25.41909344;Site_1
17/12/1987;-28.50028299;Site_1
16/01/1988;-25.92840064;Site_1
15/02/1988;-31.20019473;Site_1
16/03/1988;-28.62831238;Site_1
15/04/1988;-26.05643002;Site_1
15/05/1988;-28.90743699;Site_1
14/06/1988;-26.33555463;Site_1
14/07/1988;-29.61066303;Site_1
13/08/1988;-27.03878068;Site_1
12/09/1988;-28.41103999;Site_1
12/10/1988;-25.83915764;Site_1
11/11/1988;-28.68528597;Site_1
11/12/1988;-26.11340361;Site_1
10/01/1989;-31.73554565;Site_1
09/02/1989;-29.1636633;Site_1
11/03/1989;-26.59178095;Site_1
10/04/1989;-30.25797884;Site_1
10/05/1989;-27.68609649;Site_1
09/06/1989;-25.11421414;Site_1
09/07/1989;-30.79065806;Site_1
08/08/1989;-28.21877571;Site_1
07/09/1989;-25.64689336;Site_1
07/10/1989;-29.99883985;Site_1
06/11/1989;-27.42695749;Site_1
06/12/1989;-28.52664673;Site_1
05/01/1990;-25.95476438;Site_1
04/02/1990;-30.18479226;Site_1
06/03/1990;-27.6129099;Site_1
05/04/1990;-29.46987349;Site_1
05/05/1990;-26.89799114;Site_1
04/06/1990;-29.79015962;Site_1
04/07/1990;-27.21827726;Site_1
03/08/1990;-31.04175532;Site_1
02/09/1990;-28.46987297;Site_1
02/10/1990;-25.89799062;Site_1
01/11/1990;-28.21374469;Site_1
01/12/1990;-25.64186234;Site_1
31/12/1990;-29.85221413;Site_1
30/01/1991;-27.28033177;Site_1
01/03/1991;-29.66099753;Site_1
31/03/1991;-27.08911518;Site_1
30/04/1991;-31.32260727;Site_1
30/05/1991;-28.75072492;Site_1
29/06/1991;-26.17884257;Site_1
29/07/1991;-31.58537309;Site_1
28/08/1991;-29.01349074;Site_1
27/09/1991;-26.44160838;Site_1
27/10/1991;-30.03960577;Site_1
26/11/1991;-27.46772341;Site_1
26/12/1991;-29.66427671;Site_1
25/01/1992;-27.09239436;Site_1
24/02/1992;-31.32090839;Site_1
25/03/1992;-28.74902604;Site_1
24/04/1992;-26.17714369;Site_1
24/05/1992;-28.81636065;Site_1
23/06/1992;-26.2444783;Site_1
23/07/1992;-31.21003851;Site_1
22/08/1992;-28.63815616;Site_1
21/09/1992;-26.0662738;Site_1
21/10/1992;-27.94823302;Site_1
20/11/1992;-25.37635067;Site_1
20/12/1992;-30.77120444;Site_1
19/01/1993;-28.19932209;Site_1
18/02/1993;-25.62743974;Site_1
20/03/1993;-29.04433157;Site_1
19/04/1993;-26.47244921;Site_1
19/05/1993;-27.709737;Site_1
18/06/1993;-25.13785465;Site_1
18/07/1993;-27.84416132;Site_1
17/08/1993;-25.27227896;Site_1
16/09/1993;-31.43266887;Site_1
16/10/1993;-28.86078651;Site_1
15/11/1993;-26.28890416;Site_1
15/12/1993;-30.69338519;Site_1
14/01/1994;-28.12150284;Site_1
13/02/1994;-25.54962049;Site_1
15/03/1994;-30.97903269;Site_1
14/04/1994;-28.40715034;Site_1
14/05/1994;-25.83526799;Site_1
13/06/1994;-28.5145804;Site_1
13/07/1994;-25.94269805;Site_1
12/08/1994;-28.77675885;Site_1
11/09/1994;-26.20487649;Site_1
11/10/1994;-29.07211156;Site_1
10/11/1994;-26.50022921;Site_1
10/12/1994;-29.96148451;Site_1
09/01/1995;-27.38960215;Site_1
08/02/1995;-29.82147305;Site_1
10/03/1995;-27.2495907;Site_1
09/04/1995;-28.9218847;Site_1
09/05/1995;-26.35000235;Site_1
08/06/1995;-29.05919485;Site_1
08/07/1995;-26.4873125;Site_1
07/08/1995;-30.46592315;Site_1
06/09/1995;-27.8940408;Site_1
06/10/1995;-25.32215845;Site_1
05/11/1995;-29.83562873;Site_1
05/12/1995;-27.26374638;Site_1
04/01/1996;-29.71400524;Site_1
03/02/1996;-27.14212289;Site_1
04/03/1996;-31.83511207;Site_1
03/04/1996;-29.26322972;Site_1
03/05/1996;-26.69134737;Site_1
02/06/1996;-31.52064464;Site_1
02/07/1996;-28.94876228;Site_1
01/08/1996;-26.37687993;Site_1
31/08/1996;-30.58113405;Site_1
30/09/1996;-28.0092517;Site_1
30/10/1996;-25.43736935;Site_1
29/11/1996;-30.91933754;Site_1
29/12/1996;-28.34745519;Site_1
28/01/1997;-25.77557284;Site_1
27/02/1997;-29.47590762;Site_1
29/03/1997;-26.90402527;Site_1
28/04/1997;-29.78193877;Site_1
28/05/1997;-27.21005642;Site_1
