site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1,decreasing,True,3.8341774200034706e-11,-6.610348280793237,-0.5285388127853882,-1389.0,44089.0,-0.20519230769230784,-82.78307692307692
Site_10,decreasing,True,0.0,-11.591659073184836,-0.9265601217656012,-2435.0,44091.0,-0.5645596518177165,-95.72585253456221
Site_100,decreasing,True,0.0,-11.696431669573524,-0.934931506849315,-2457.0,44091.0,-0.6247457264957266,-99.58915384615383
Site_1000,decreasing,True,1.9539925233402755e-14,-7.65342230517238,-0.6118721461187214,-1608.0,44088.0,-0.18818604651162782,-81.8053023255814
Site_1001,decreasing,True,0.0,-11.329599103216674,-0.9056316590563166,-2380.0,44092.0,-0.4915633423180598,-133.26371967654984
Site_1002,decreasing,True,0.0,-11.51546082126579,-0.9204718417047184,-2419.0,44091.0,-0.5431662735849057,-94.7260141509434
Site_1003,decreasing,True,0.0,-10.362962260990223,-0.828386605783866,-2177.0,44091.0,-0.31245689655172415,-86.34155172413793
Site_1004,decreasing,True,0.0,-10.115317942253323,-0.808599695585997,-2125.0,44091.0,-0.2618151969981237,-140.99465290806754
Site_1005,decreasing,True,0.0,-11.596289960627407,-0.9269406392694064,-2436.0,44092.0,-0.5669615384615384,-60.31938461538462
Site_1006,decreasing,True,0.0,-9.862799387457644,-0.7884322678843226,-2072.0,44092.0,-0.2400000000000001,-101.26
Site_1007,decreasing,True,0.0,-11.615339307585318,-0.928462709284627,-2440.0,44092.0,-0.5462974296205633,-79.44329253365973
Site_1008,decreasing,True,0.0,-11.77752587229118,-0.941400304414003,-2474.0,44090.0,-0.7354692082111438,-89.02310850439882
Site_1009,decreasing,True,0.0,-11.510828966165702,-0.9200913242009132,-2418.0,44090.0,-0.5131561085972851,-117.99638009049774
Site_101,decreasing,True,0.0,-11.034584490941635,-0.8820395738203958,-2318.0,44090.0,-0.46666666666666656,-72.92
Site_1010,decreasing,True,0.0,-11.386747144090403,-0.9101978691019786,-2392.0,44092.0,-0.5209999999999996,-95.35400000000001
Site_1011,decreasing,True,0.0,-11.186729001032354,-0.8942161339421614,-2350.0,44092.0,-0.5259437321937326,-108.75602564102562
Site_1012,decreasing,True,0.0,-10.6440640212579,-0.8508371385083714,-2236.0,44090.0,-0.4856832298136645,-75.87540372670807
Site_1013,decreasing,True,0.0,-11.377222470611448,-0.9094368340943684,-2390.0,44092.0,-0.4559545454545454,-75.67563636363637
Site_1014,decreasing,True,0.0,-11.043858898848033,-0.882800608828006,-2320.0,44092.0,-0.3880425531914895,-116.14046808510639
Site_1015,decreasing,True,0.000456265952706314,-3.505199088374512,-0.280441400304414,-737.0,44089.0,-0.1110529556650246,-119.98209359605912
Site_1016,decreasing,True,0.0,-9.63420722396273,-0.7701674277016742,-2024.0,44092.0,-0.4858642533936648,-107.89888687782806
Site_1017,decreasing,True,0.0,-9.600979741799765,-0.767503805175038,-2017.0,44091.0,-0.23050862068965522,-103.11168965517241
Site_1018,decreasing,True,0.0,-10.820397185851755,-0.8649162861491628,-2273.0,44089.0,-0.38243011879804323,-104.93251572327044
Site_1019,decreasing,True,0.0,-11.853456144559186,-0.9474885844748858,-2490.0,44092.0,-0.535441558441559,-106.66410389610387
Site_102,decreasing,True,0.0,-10.748594021000436,-0.8592085235920852,-2258.0,44092.0,-0.3844652014652017,-106.12925274725274
Site_1020,decreasing,True,0.0,-11.467836913816386,-0.9166666666666666,-2409.0,44091.0,-0.4855051020408164,-133.6718163265306
Site_1021,decreasing,True,0.0,-11.948702879348733,-0.9550989345509894,-2510.0,44092.0,-0.7040000000000006,-110.59599999999998
Site_1022,decreasing,True,0.0,-10.00589642445765,-0.799847792998478,-2102.0,44090.0,-0.2853939393939394,-95.65581818181819
Site_1023,decreasing,True,0.0,-11.453679629138813,-0.9155251141552512,-2406.0,44090.0,-0.43717142857142877,-86.77182857142857
Site_1024,decreasing,True,0.0,-11.481993878879951,-0.9178082191780822,-2412.0,44092.0,-0.5416269841269841,-82.76142857142858
