site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1,decreasing,True,0.0,-15.022880701729068,-0.8418582375478927,-8789.0,342195.0,-0.2829909083529507,-64.86465459858755
Site_10,decreasing,True,0.0,-16.84681842803651,-0.9440613026819923,-9856.0,342198.0,-0.4707692307692307,-64.14461538461539
Site_100,decreasing,True,0.0,-17.077571809921466,-0.956992337164751,-9991.0,342199.0,-0.5087014453477867,-62.72349593495935
Site_1000,decreasing,True,0.0,-14.833150468373455,-0.8312260536398467,-8678.0,342194.0,-0.2157534722222223,-68.51575
Site_1001,decreasing,True,0.0,-16.568150748924808,-0.928448275862069,-9693.0,342199.0,-0.40571428571428503,-99.72857142857148
Site_1002,decreasing,True,0.0,-16.139098201835893,-0.9044061302681993,-9442.0,342198.0,-0.3963645690834473,-63.1417510259918
Site_1003,decreasing,True,0.0,-16.159611831580836,-0.9055555555555556,-9454.0,342198.0,-0.3901100577530784,-62.422075841778366
Site_1004,decreasing,True,0.0,-16.282693610050508,-0.9124521072796935,-9526.0,342198.0,-0.40191085822664774,-104.40241820768136
Site_1005,decreasing,True,0.0,-17.065630478649265,-0.9563218390804598,-9984.0,342198.0,-0.5074529124520405,-30.493390303453083
Site_1006,decreasing,True,0.0,-16.344234499285346,-0.9159003831417625,-9562.0,342198.0,-0.35999999999999943,-76.10000000000004
Site_1007,decreasing,True,0.0,-17.092932034634067,-0.9578544061302682,-10000.0,342200.0,-0.5126747967479675,-42.94741463414634
Site_1008,decreasing,True,0.0,-15.354474299181229,-0.86044061302682,-8983.0,342197.0,-0.4374043755433208,-57.40688496088091
Site_1009,decreasing,True,0.0,-16.88442674923558,-0.946168582375479,-9878.0,342198.0,-0.428305562676237,-85.36199948731094
Site_101,decreasing,True,0.0,-15.412596335049873,-0.8636973180076628,-9017.0,342197.0,-0.4163039215686276,-40.74611764705881
Site_1010,decreasing,True,0.0,-14.877553449032963,-0.8337164750957854,-8704.0,342196.0,-0.36285714285714377,-69.49428571428565
Site_1011,decreasing,True,0.0,-17.053639276854508,-0.9556513409961686,-9977.0,342199.0,-0.49798844537815123,-75.4448319327731
Site_1012,decreasing,True,0.0,-16.51518141382656,-0.9254789272030651,-9662.0,342198.0,-0.37370329670329683,-57.603362637362636
Site_1013,decreasing,True,0.0,-16.467268155778576,-0.9227969348659004,-9634.0,342200.0,-0.35511512297226566,-55.20171114599687
Site_1014,decreasing,True,0.0,-16.568150748924808,-0.928448275862069,-9693.0,342199.0,-0.34700467289719616,-96.28566355140187
Site_1015,decreasing,True,0.0,-14.354454361890129,-0.8044061302681992,-8398.0,342196.0,-0.40428571428571425,-83.69142857142857
Site_1016,decreasing,True,0.0,-15.833141782311502,-0.8872605363984675,-9263.0,342196.3333333333,-0.46571428571428575,-63.90857142857142
Site_1017,decreasing,True,0.0,-16.22967635269213,-0.9094827586206896,-9495.0,342199.0,-0.3365657255616272,-75.09726775956284
Site_1018,decreasing,True,0.0,-16.6024371159755,-0.9303639846743295,-9713.0,342195.0,-0.39283882783882773,-76.8156043956044
Site_1019,decreasing,True,0.0,-16.74083134102096,-0.9381226053639847,-9794.0,342198.0,-0.4542078431372548,-70.84703529411766
Site_102,decreasing,True,0.0,-16.6536240813068,-0.9332375478927203,-9743.0,342199.0,-0.3722904116465864,-80.83509036144578
Site_1020,decreasing,True,0.0,-17.065630478649265,-0.9563218390804598,-9984.0,342198.0,-0.4954977511244376,-97.02416191904048
Site_1021,decreasing,True,0.0,-17.18866202702726,-0.9632183908045977,-10056.0,342200.0,-0.637169289044289,-56.58381118881118
Site_1022,decreasing,True,0.0,-16.016063226932072,-0.8975095785440613,-9370.0,342196.0,-0.33645497311827954,-69.70524193548388
Site_1023,decreasing,True,0.0,-16.544266562845237,-0.9271072796934866,-9679.0,342197.0,-0.4002941176470588,-58.40882352941177
Site_1024,decreasing,True,0.0,-16.821151812775497,-0.9426245210727969,-9841.0,342199.0,-0.4617432188065099,-50.65448824593129
Site_1025,decreasing,True,0.0,-16.69807021414543,-0.935727969348659,-9769.0,342199.0,-0.6618181818181812,-87.29909090909095
Site_1026,decreasing,True,0.0,-16.843350268751824,-0.9438697318007663,-9854.0,342200.0,-0.4828806779661017,-59.522591186440685
Site_1027,decreasing,True,0.0,-16.292998037772396,-0.9130268199233716,-9532.0,342196.0,-0.5363497842502696,-73.29281553398059
Site_1028,decreasing,True,0.0,-16.37669048438915,-0.91772030651341,-9581.0,342199.0,-0.4687087283425956,-85.18297155933313
Site_1029,decreasing,True,0.0,-16.858809345193194,-0.9447318007662835,-9863.0,342197.0,-0.4510812785388127,-49.33214794520549
Site_103,decreasing,True,0.0,-16.696385143240246,-0.9356321839080459,-9768.0,342198.0,-0.38089687902187896,-91.87542471042471
Site_1030,decreasing,True,0.0,-16.593816994515517,-0.9298850574712644,-9708.0,342198.0,-0.4030678733031674,-97.19911312217195
Site_1031,decreasing,True,0.0,-16.221152720815674,-0.9090038314176245,-9490.0,342198.0,-0.3973507130124776,-96.1007486631016
Site_1032,decreasing,True,0.0,-16.732259547098227,-0.9376436781609195,-9789.0,342199.0,-0.4210740835683159,-74.45266598308126
