site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1,decreasing,True,0.0,-11.534510384245552,-0.9219939117199392,-2423.0,44091.0,-0.6468433179723506,-137.43364055299537
Site_10,decreasing,True,0.0,-11.134469561670562,-0.8900304414003044,-2339.0,44091.0,-0.39720967741935465,-165.70045161290324
Site_100,decreasing,True,0.0,-10.696329613136047,-0.8550228310502284,-2247.0,44091.0,-0.259642857142857,-161.14285714285717
Site_1000,decreasing,True,0.0,-10.434279796194929,-0.8340943683409436,-2192.0,44092.0,-0.31519230769230705,-102.92307692307695
Site_1001,decreasing,True,0.0,-11.129580960158625,-0.8896499238964992,-2338.0,44092.0,-0.44988095238095205,-182.29428571428573
Site_1002,decreasing,True,0.0,-11.424845838006222,-0.91324200913242,-2400.0,44092.0,-0.45726666666666693,-151.2284
Site_1003,decreasing,True,0.0,-11.805832777164412,-0.943683409436834,-2480.0,44092.0,-0.6063392857142853,-134.68178571428572
Site_1004,decreasing,True,0.0,-10.163172356781534,-0.8124048706240488,-2135.0,44089.0,-0.3269397993311036,-179.62016722408026
Site_1005,decreasing,True,0.0,-10.091391550952558,-0.806697108066971,-2120.0,44092.0,-0.3651229508196724,-117.88557377049179
Site_1006,decreasing,True,0.0,-11.662962674980092,-0.9322678843226788,-2450.0,44092.0,-0.5504658385093166,-135.6332298136646
Site_1007,decreasing,True,0.0,-9.92482231245571,-0.79337899543379,-2085.0,44091.0,-0.3358818541548898,-133.46825325042397
Site_1008,decreasing,True,0.0,-10.567625224900295,-0.8447488584474886,-2220.0,44092.0,-0.3448331479421579,-151.0560066740823
Site_1009,decreasing,True,0.0,-10.643822612731933,-0.8508371385083714,-2236.0,44092.0,-0.4333333333333329,-177.0
Site_101,decreasing,True,0.0,-10.791577428034856,-0.8626331811263318,-2267.0,44091.0,-0.3208072916666663,-120.9309375
Site_1010,decreasing,True,0.0,-11.334489972958057,-0.9060121765601218,-2381.0,44091.0,-0.4526278772378518,-152.16539641943734
Site_1011,decreasing,True,0.0,-11.324965191468175,-0.9052511415525114,-2379.0,44091.0,-0.5455158730158731,-161.79142857142858
Site_1012,decreasing,True,0.0,-11.434370511485177,-0.9140030441400304,-2402.0,44092.0,-0.4294097222222224,-147.21124999999998
Site_1013,decreasing,True,0.0,-11.348648450174585,-0.9071537290715372,-2384.0,44092.0,-0.46500000000000175,-140.16999999999993
Site_1014,decreasing,True,0.0,-10.053520871980057,-0.8036529680365296,-2112.0,44090.0,-0.3054951298701297,-160.77217532467535
Site_1015,decreasing,True,0.0,-10.886825242933662,-0.8702435312024354,-2287.0,44091.0,-0.5521826923076922,-134.54142307692308
Site_1016,decreasing,True,0.0,-10.04864447182416,-0.8032724505327246,-2111.0,44091.0,-0.37681159420289856,-160.66478260869565
Site_1017,decreasing,True,0.0,-11.37258909891758,-0.9090563165905632,-2389.0,44091.0,-0.4979237891737892,-143.75474358974358
Site_1018,decreasing,True,0.0,-9.319892999157222,-0.7450532724505328,-1958.0,44092.0,-0.3529800221975581,-150.79271920088792
