site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1,decreasing,True,0.0,-17.128855809350657,-0.9598659003831418,-10021.0,342199.0,-0.6064972114972114,-108.34220077220077
Site_10,decreasing,True,0.0,-16.88269261209053,-0.9460727969348659,-9877.0,342199.0,-0.4139897959183666,-145.0127346938776
Site_100,decreasing,True,0.0,-16.81262904512827,-0.9421455938697318,-9836.0,342198.0,-0.34766437370020786,-142.73816509358505
Site_1000,decreasing,True,0.0,-15.817718002498411,-0.8863984674329501,-9254.0,342198.0,-0.28665016501650153,-90.69118811881188
Site_1001,decreasing,True,0.0,-16.544266562845237,-0.9271072796934866,-9679.0,342197.0,-0.4098962547982155,-163.87746965452845
Site_1002,decreasing,True,0.0,-17.092932034634067,-0.9578544061302682,-10000.0,342200.0,-0.5057453703703705,-126.38633333333334
Site_1003,decreasing,True,0.0,-17.10150434298842,-0.9583333333333334,-10005.0,342199.0,-0.5113118279569893,-112.80554838709678
Site_1004,decreasing,True,0.0,-16.5955507121411,-0.9299808429118774,-9709.0,342197.0,-0.4029536707056307,-161.2273357091946
Site_1005,decreasing,True,0.0,-16.42965994448125,-0.9206896551724137,-9612.0,342200.0,-0.37809068266727053,-101.82747084795653
Site_1006,decreasing,True,0.0,-16.6792417103635,-0.9346743295019158,-9758.0,342200.0,-0.49847826086956537,-112.0695652173913
Site_1007,decreasing,True,0.0,-15.441634790507743,-0.8653256704980843,-9034.0,342198.0,-0.2885028735632186,-117.51779310344826
Site_1008,decreasing,True,0.0,-16.386947284274992,-0.9182950191570881,-9587.0,342199.0,-0.3419836065573771,-135.83718032786885
Site_1009,decreasing,True,0.0,-16.619483315145835,-0.9313218390804597,-9723.0,342197.0,-0.45066666666666666,-157.642
Site_101,decreasing,True,0.0,-16.602340081877603,-0.9303639846743295,-9713.0,342199.0,-0.3371134020618556,-102.3978350515464
Site_1010,decreasing,True,0.0,-16.60407380938799,-0.9304597701149425,-9714.0,342198.0,-0.44999999999999996,-129.43
Site_1011,decreasing,True,0.0,-16.930557678224442,-0.9487547892720306,-9905.0,342199.0,-0.49630825958702074,-138.4758053097345
Site_1012,decreasing,True,0.0,-16.345920084731635,-0.9159961685823754,-9563.0,342199.0,-0.4661043360433599,-124.04048780487808
Site_1013,decreasing,True,0.0,-17.07930623181256,-0.957088122605364,-9992.0,342198.0,-0.4923779761904763,-116.9987857142857
Site_1014,decreasing,True,0.0,-15.92717057160061,-0.8925287356321839,-9318.0,342196.0,-0.2864346246973366,-148.34670702179176
Site_1015,decreasing,True,0.0,-16.007492466881878,-0.8970306513409961,-9365.0,342197.0,-0.4082968095391555,-118.2926297131808
Site_1016,decreasing,True,0.0,-16.12200351038177,-0.903448275862069,-9432.0,342198.0,-0.3915192307692308,-140.28061538461537
