Site,DecLatVa,DecLongVa,AltVa
2752301.0,32.2288889,-102.5405556,3158.0
2750501.0,32.1813889,-102.7958333,3327.0
2736901.0,32.3791667,-102.5188889,3146.0
2736401.0,32.4227778,-102.6005556,3197.0
2738101.0,32.478055,-102.352223,3019.0
2743801.0,32.2836111,-102.6791667,3209.0
2745201.0,32.3608333,-102.4233333,3073.0
2746501.0,32.3008333,-102.3236111,3005.0
2751401.0,32.1872222,-102.7466667,3275.0
2751601.0,32.1986111,-102.6555556,3196.0
2735701.0,32.3975,-102.711945,3239.0
2738801.0,32.3838889,-102.3136111,3003.0
2738701.0,32.4075,-102.3641667,3020.0
2752702.0,32.1272222,-102.6038889,3134.0
2733201.0,32.471111,-102.945556,3428.0
2744201.0,32.3586111,-102.5583333,3168.0
2746601.0,32.321944,-102.268611,3172.0
2738401.0,32.42,-102.3566667,3010.0
2754902.0,32.1641667,-102.255,2923.0
2753402.0,32.1883333,-102.4861111,3120.0
2752402.0,32.1827778,-102.5863889,3163.0
2745901.0,32.281111,-102.381944,3037.0
2754101.0,32.24,-102.3608333,3001.0
2750802.0,32.155556,-102.811112,3362.0
2743701.0,32.272222,-102.733889,3245.0
2738802.0,32.416389,-102.318611,2998.0
2737801.0,32.402501,-102.433055,3076.0
2735201.0,32.4719444,-102.7036111,3267.0
2735302.0,32.4622222,-102.635,3205.0
1112803.0,34.791111,-101.571389,3422.0
1113702.0,34.763334,-101.4975,3354.0
660202.0,35.1,-101.559167,3494.0
663203.0,35.1,-101.183611,3152.0
664702.0,35.01,-101.1138889,2980.0
663204.0,35.093889,-101.183611,3145.0
662402.0,35.075,-101.3691667,3363.0
1107750.0,34.895834,-101.232222,3266.0
1112522.0,34.792778,-101.542778,3396.0
1112901.0,34.763056,-101.528611,3394.0
652501.0,35.176389,-101.559723,3524.0
655615.0,35.179722,-101.126111,3297.0
1112701.0,34.778333,-101.616667,3454.0
656404.0,35.18,-101.1044444,3281.0
661601.0,35.058056,-101.416112,3427.0
661802.0,35.03,-101.431389,3422.0
662101.0,35.0938889,-101.3633333,3387.0
662107.0,35.096667,-101.351945,3382.0
